Item,Color,utterance,Combo,Typicality,YMin,YMax
apple,blue,apple,blue apple,0.462,0.392529661016949,0.52864406779661
apple,blue,avocado,blue apple,0.039,0.0124910714285714,0.0717946428571429
apple,blue,banana,blue apple,0.04,0.01439,0.07121
apple,blue,carrot,blue apple,0.035,0.00692307692307692,0.0815384615384615
apple,blue,fruit,blue apple,0.506,0.36625,0.634814814814815
apple,blue,pear,blue apple,0.004,0,0.0114285714285714
apple,blue,pepper,blue apple,0.045,0.01359,0.08361
apple,blue,tomato,blue apple,0.034,0.00428571428571429,0.0807321428571428
apple,blue,vegetable,blue apple,0.081,0.00846153846153846,0.181557692307692
apple,green,apple,green apple,0.961,0.934224576271186,0.979830508474576
apple,green,avocado,green apple,0.022,0.00998214285714286,0.0371428571428571
apple,green,banana,green apple,0.072,0.016,0.16082
apple,green,carrot,green apple,0.023,0.00294117647058824,0.0570735294117647
apple,green,fruit,green apple,0.929,0.884359375,0.966875
apple,green,pear,green apple,0.14,0.0633333333333333,0.22962962962963
apple,green,pepper,green apple,0.014,0.00277777777777778,0.0288888888888889
apple,green,tomato,green apple,0.044,0.015375,0.0807788461538462
apple,green,vegetable,green apple,0.128,0.0516458333333333,0.220833333333333
apple,red,apple,red apple,0.953,0.912199152542373,0.984241525423729
apple,red,avocado,red apple,0.052,0.0230673076923077,0.0880865384615385
apple,red,banana,red apple,0.07,0.0215288461538461,0.136923076923077
apple,red,carrot,red apple,0.011,0.00331666666666667,0.0213333333333333
apple,red,fruit,red apple,0.932,0.880722222222222,0.974083333333333
apple,red,pear,red apple,0.014,0.00307692307692308,0.0292307692307692
apple,red,pepper,red apple,0.026,0.00823529411764706,0.0494264705882353
apple,red,tomato,red apple,0.088,0.03519,0.1504
apple,red,vegetable,red apple,0.182,0.064,0.314033333333333
avocado,black,apple,black avocado,0.055,0.0214814814814815,0.0948333333333333
avocado,black,avocado,black avocado,0.812,0.757419491525424,0.863088983050847
avocado,black,banana,black avocado,0.036,0.0144351851851852,0.0614814814814815
avocado,black,carrot,black avocado,0.016,0.00615384615384615,0.0292307692307692
avocado,black,fruit,black avocado,0.539,0.39638,0.67527
avocado,black,pear,black avocado,0.08,0.0303571428571429,0.161803571428571
avocado,black,pepper,black avocado,0.08,0.0160972222222222,0.178916666666667
avocado,black,tomato,black avocado,0.069,0.00875,0.17875
avocado,black,vegetable,black avocado,0.332,0.212298076923077,0.45925
avocado,green,apple,green avocado,0.022,0.0094875,0.037
avocado,green,avocado,green avocado,0.966,0.94185593220339,0.984245762711864
avocado,green,banana,green avocado,0.046,0.0207407407407407,0.0763055555555555
avocado,green,carrot,green avocado,0.06,0.0173981481481481,0.117037037037037
avocado,green,fruit,green avocado,0.503,0.32240625,0.687515625
avocado,green,pear,green avocado,0.045,0.0145729166666667,0.0966770833333333
avocado,green,pepper,green avocado,0.069,0.0217678571428571,0.130366071428571
avocado,green,tomato,green avocado,0.052,0.0124895833333333,0.111260416666667
avocado,green,vegetable,green avocado,0.455,0.3235625,0.578223214285714
avocado,red,apple,red avocado,0.08,0.0354545454545455,0.133636363636364
avocado,red,avocado,red avocado,0.696,0.619487288135593,0.765093220338983
avocado,red,banana,red avocado,0.07,0.035,0.116089285714286
avocado,red,carrot,red avocado,0.008,0.00166666666666667,0.0183333333333333
avocado,red,fruit,red avocado,0.329,0.156392857142857,0.526464285714286
avocado,red,pear,red avocado,0.103,0.0311538461538462,0.195778846153846
avocado,red,pepper,red avocado,0.104,0.0346428571428571,0.189339285714286
avocado,red,tomato,red avocado,0.051,0.00736842105263158,0.133723684210526
avocado,red,vegetable,red avocado,0.236,0.100714285714286,0.397964285714286
banana,blue,apple,blue banana,0.044,0.0111111111111111,0.0874259259259259
banana,blue,avocado,blue banana,0.016,0.00767307692307692,0.0261538461538462
banana,blue,banana,blue banana,0.419,0.340847457627119,0.500716101694915
banana,blue,carrot,blue banana,0.039,0.0136363636363636,0.0704659090909091
banana,blue,fruit,blue banana,0.603,0.479173076923077,0.722692307692308
banana,blue,pear,blue banana,0.012,0.00529411764705882,0.0211764705882353
banana,blue,pepper,blue banana,0.073,0.0126184210526316,0.168447368421053
banana,blue,tomato,blue banana,0.042,0.0133333333333333,0.080787037037037
banana,blue,vegetable,blue banana,0.054,0.00692307692307692,0.116980769230769
banana,brown,apple,brown banana,0.04,0.0165384615384615,0.0657692307692308
banana,brown,avocado,brown banana,0.048,0.00523809523809524,0.127154761904762
banana,brown,banana,brown banana,0.657,0.587622881355932,0.71881779661017
banana,brown,carrot,brown banana,0.013,0.00414583333333333,0.0258333333333333
banana,brown,fruit,brown banana,0.726,0.607222222222222,0.837236111111111
banana,brown,pear,brown banana,0.041,0.003734375,0.09625
banana,brown,pepper,brown banana,0.06,0.0226923076923077,0.110769230769231
banana,brown,tomato,brown banana,0.033,0.00540625,0.0679166666666667
banana,brown,vegetable,brown banana,0.077,0.0272980769230769,0.135798076923077
banana,yellow,apple,yellow banana,0.043,0.0176923076923077,0.0707692307692308
banana,yellow,avocado,yellow banana,0.024,0.009359375,0.045640625
banana,yellow,banana,yellow banana,0.979,0.963898305084746,0.990173728813559
banana,yellow,carrot,yellow banana,0.011,0.0025,0.0216666666666667
banana,yellow,fruit,yellow banana,0.973,0.952288461538461,0.990769230769231
banana,yellow,pear,yellow banana,0.074,0.0278152173913044,0.136086956521739
banana,yellow,pepper,yellow banana,0.07,0.018,0.1452
banana,yellow,tomato,yellow banana,0.018,0.007125,0.03
banana,yellow,vegetable,yellow banana,0.055,0.00666666666666667,0.142791666666667
carrot,brown,apple,brown carrot,0.059,0.01465,0.112033333333333
carrot,brown,avocado,brown carrot,0.053,0.00666666666666667,0.108
carrot,brown,banana,brown carrot,0.076,0.0146666666666667,0.156666666666667
carrot,brown,carrot,brown carrot,0.565,0.399983333333333,0.71735
carrot,brown,fruit,brown carrot,0.092,0.0239833333333333,0.178683333333333
carrot,brown,pear,brown carrot,0.052,0.00466666666666667,0.115416666666667
carrot,brown,pepper,brown carrot,0.086,0.0279666666666667,0.151366666666667
carrot,brown,tomato,brown carrot,0.041,0.0126666666666667,0.082
carrot,brown,vegetable,brown carrot,0.623,0.441333333333333,0.786066666666667
carrot,orange,apple,orange carrot,0.013,0.00133333333333333,0.0346666666666667
carrot,orange,avocado,orange carrot,0.034,0.010625,0.068125
carrot,orange,banana,orange carrot,0.079,0.00141071428571429,0.220714285714286
carrot,orange,carrot,orange carrot,0.976,0.945241525423729,0.991864406779661
carrot,orange,fruit,orange carrot,0.019,0.006,0.0346666666666667
carrot,orange,pear,orange carrot,0.034,0.01,0.0652
carrot,orange,pepper,orange carrot,0.043,0.0165384615384615,0.0734615384615385
carrot,orange,tomato,orange carrot,0.047,0.00333333333333333,0.129444444444444
carrot,orange,vegetable,orange carrot,0.895,0.81237,0.96041
carrot,purple,apple,purple carrot,0.052,0.0196057692307692,0.0903942307692308
carrot,purple,avocado,purple carrot,0.061,0.018125,0.123140625
carrot,purple,banana,purple carrot,0.021,0.00466666666666667,0.04935
carrot,purple,carrot,purple carrot,0.503,0.432707627118644,0.575258474576271
carrot,purple,fruit,purple carrot,0.051,0.00222222222222222,0.130569444444444
carrot,purple,pear,purple carrot,0.013,0.00266666666666667,0.0233333333333333
carrot,purple,pepper,purple carrot,0.049,0.0208695652173913,0.0817391304347826
carrot,purple,tomato,purple carrot,0.037,0.0155555555555556,0.0651851851851852
carrot,purple,vegetable,purple carrot,0.401,0.292307692307692,0.523076923076923
pear,green,apple,green pear,0.196,0.0892,0.31443
pear,green,avocado,green pear,0.055,0.0186847826086957,0.10525
pear,green,banana,green pear,0.021,0.00842105263157895,0.0357894736842105
pear,green,carrot,green pear,0.085,0.00642857142857142,0.229285714285714
pear,green,fruit,green pear,0.937,0.897634615384615,0.969625
pear,green,pear,green pear,0.953,0.921334745762712,0.976949152542373
pear,green,pepper,green pear,0.016,0.00538461538461538,0.03
pear,green,tomato,green pear,0.018,0.00176470588235294,0.0494117647058823
pear,green,vegetable,green pear,0.115,0.0153846153846154,0.271557692307692
pear,orange,apple,orange pear,0.142,0.06638,0.23122
pear,orange,avocado,orange pear,0.055,0.0129166666666667,0.10840625
pear,orange,banana,orange pear,0.01,0.002,0.022
pear,orange,carrot,orange pear,0.052,0.0138461538461538,0.113846153846154
