gameid	Trial	TargetItem	UtteranceType	redUtterance	SufficientProperty	RedundantProperty	NumDistractors	NumSameDistractors	SceneVariation	speakerMessages	listenerMessages	refExp	minimal	redundant	clickedType	clickedSize	clickedColor	colorMentioned	sizeMentioned	typeMentioned	oneMentioned	theMentioned	ColorTypicality	OtherColorTypicality	OtherColor	TypicalityDiff	normTypicality	ColorTypicalityModified	ColorTypicalityUnModified	OtherColorTypicalityModified	OtherColorTypicalityUnModified	TypicalityDiffModified	normTypicalityModified	TypicalityDiffUnModified	normTypicalityUnModified	alt1Name	alt1SpLocs	alt1LisLocs	alt2Name	alt2SpLocs	alt2LisLocs	alt3Name	alt3SpLocs	alt3LisLocs	alt4Name	alt4SpLocs	alt4LisLocs
2298-c	50	small_blue_comb	color	minimal	color	size redundant	2	2	0	Blue		Blue	1	0	comb	small	blue	TRUE	FALSE	FALSE	FALSE	FALSE	0.67695652173913	0.937058823529412	black	-0.260102301790282	0.419423844837421	0.7292	0.762727272727273	0.968666666666667	0.913333333333333	-0.239466666666667	0.429480131930265	-0.15060606060606	0.455071415657205	small_black_comb	2	4	small_black_comb	3	3	undefined	undefined	undefined	undefined	undefined	undefined
2298-c	59	small_blue_guitar	size	minimal	size	color redundant	3	3	0	Smallest		Smallest	1	0	guitar	small	blue	FALSE	TRUE	FALSE	FALSE	FALSE	0.526842105263158	0.305238095238095	green	0.221604010025063	0.63316265060241	0.75	0.622352941176471	0.7665	0.628333333333333	-0.0165	0.494559841740851	-0.00598039215686197	0.497609155757624	big_blue_guitar	2	3	big_blue_guitar	1	1	big_blue_guitar	4	4	undefined	undefined	undefined
2298-c	60	small_red_stapler	color	minimal	color	size redundant	4	4	0	Red		Red	1	0	stapler	small	red	TRUE	FALSE	FALSE	FALSE	FALSE	0.531052631578947	0.326666666666667	purple	0.20438596491228	0.619145019431376	0.8605	0.594444444444444	0.772727272727273	0.702222222222222	0.087772727272727	0.526870947093039	-0.107777777777778	0.458440445586975	small_purple_stapler	5	2	small_purple_stapler	1	1	small_purple_stapler	2	5	small_purple_stapler	3	4
2298-c	61	big_blue_cushion	size	minimal	size	color redundant	3	1	0.666666666666667	Biggest		Biggest	1	0	cushion	big	blue	FALSE	TRUE	FALSE	FALSE	FALSE	0.618333333333333	0.62625	orange	-0.00791666666666702	0.496819551389354	0.8225	0.699230769230769	0.767272727272727	0.67875	0.055227272727273	0.517369549678342	0.020480769230769	0.507431442327821	small_orange_cushion	4	2	small_orange_cushion	3	4	small_blue_cushion	1	1	undefined	undefined	undefined
2298-c	62	small_red_chair	color	minimal	color	size redundant	3	1	0.666666666666667	Red		Red	1	0	chair	small	red	TRUE	FALSE	FALSE	FALSE	FALSE	0.606190476190476	0.164210526315789	green	0.441979949874687	0.786850580695534	0.692777777777778	0.678	0.703333333333333	0.409166666666667	-0.010555555555555	0.496219657779547	0.268833333333333	0.623639429710256	big_green_chair	4	1	small_green_chair	3	4	big_green_chair	2	3	undefined	undefined	undefined
2298-c	64	big_blue_book	color	minimal	color	size redundant	3	2	0.333333333333333	Blue		Blue	1	0	book	big	blue	TRUE	FALSE	FALSE	FALSE	FALSE	0.67952380952381	0.853684210526316	black	-0.174160401002506	0.44320392317123	0.775	0.757857142857143	0.85304347826087	0.709230769230769	-0.07804347826087	0.476031512885565	0.048626373626374	0.516572413018239	big_black_book	3	3	big_black_book	2	4	small_black_book	1	1	undefined	undefined	undefined
2298-c	65	small_red_bike	color	minimal	color	size redundant	3	3	0	Red		Red	1	0	bike	small	red	TRUE	FALSE	FALSE	FALSE	FALSE	0.868	0.349	purple	0.519	0.713229252259655	0.814736842105263	0.76	0.701666666666667	0.625	0.113070175438596	0.53728235089952	0.135	0.548736462093863	small_purple_bike	2	3	small_purple_bike	1	1	small_purple_bike	4	4	undefined	undefined	undefined
2298-c	66	big_purple_rock	size	minimal	size	color redundant	3	2	0.333333333333333	Largest		Largest	1	0	rock	big	purple	FALSE	TRUE	FALSE	FALSE	FALSE	0.108666666666667	0.1796	green	-0.070933333333333	0.376965772432933	0.412592592592593	0.27	0.300454545454545	0.16	0.112138047138048	0.578632983118877	0.11	0.627906976744186	small_green_rock	1	4	small_purple_rock	3	3	small_purple_rock	4	2	undefined	undefined	undefined
2298-c	67	big_yellow_napkin	size	minimal	size	color redundant	3	1	0.666666666666667	Biggest		Biggest	1	0	napkin	big	yellow	FALSE	TRUE	FALSE	FALSE	FALSE	0.347058823529412	0.464347826086957	orange	-0.117289002557545	0.427724894408372	0.786666666666667	0.622	0.705384615384615	0.72125	0.0812820512820519	0.527238357106032	-0.0992499999999999	0.463056020844966	small_orange_napkin	4	1	small_orange_napkin	3	4	small_yellow_napkin	1	3	undefined	undefined	undefined
2298-c	69	big_yellow_balloon	size	minimal	size	color redundant	4	3	0.25	Biggest		Biggest	1	0	balloon	big	yellow	FALSE	TRUE	FALSE	FALSE	FALSE	0.661111111111111	0.693181818181818	pink	-0.032070707070707	0.488159612157375	0.892727272727273	0.813333333333333	0.85258064516129	0.851111111111111	0.0401466275659831	0.511501302192725	-0.037777777777778	0.488651535380507	small_pink_balloon	5	4	small_yellow_balloon	1	3	small_yellow_balloon	3	1	small_yellow_balloon	4	2
2298-c	71	small_pink_framee	color	minimal	color	size redundant	4	3	0.25	Pink		Pink	1	0	framee	small	pink	TRUE	FALSE	FALSE	FALSE	FALSE	0.26	0.235	green	0.025	0.525252525252525	0.647272727272727	0.4475	0.663809523809524	0.455555555555556	-0.016536796536797	0.493693455722116	-0.00805555555555598	0.495539833897262	small_green_framee	1	3	small_green_framee	4	1	big_green_framee	3	2	small_green_framee	2	4
2662-0	1	small_brown_jacket	color	minimal	color	size redundant	2	1	0.5	brown		brown	1	0	jacket	small	brown	TRUE	FALSE	FALSE	FALSE	FALSE	0.703125	0.48625	green	0.216875	0.5911718339464	0.667142857142857	0.571	0.663181818181818	0.64	0.00396103896103905	0.501488748962757	-0.0690000000000001	0.471511147811726	big_green_jacket	3	2	small_green_jacket	2	3	undefined	undefined	undefined	undefined	undefined	undefined
2662-0	4	big_pink_balloon	color	minimal	color	size redundant	4	3	0.25	pink		pink	1	0	balloon	big	pink	TRUE	FALSE	FALSE	FALSE	FALSE	0.693181818181818	0.661111111111111	yellow	0.032070707070707	0.511840387842625	0.85258064516129	0.851111111111111	0.892727272727273	0.813333333333333	-0.0401466275659831	0.488498697807275	0.037777777777778	0.511348464619493	big_yellow_balloon	1	5	big_yellow_balloon	3	3	small_yellow_balloon	5	1	big_yellow_balloon	2	2
2662-0	5	small_white_phone	size	minimal	size	color redundant	2	1	0.5	small		small	1	0	phone	small	white	FALSE	TRUE	FALSE	FALSE	FALSE	0.812380952380952	0.273157894736842	pink	0.53922305764411	0.748366541223189	0.516111111111111	0.33875	0.504444444444444	0.341428571428571	0.0116666666666669	0.505715841045183	-0.00267857142857103	0.498030979259648	big_white_phone	4	4	big_pink_phone	2	2	undefined	undefined	undefined	undefined	undefined	undefined
2662-0	6	big_blue_guitar	color	minimal	color	size redundant	4	4	0	blue		blue	1	0	guitar	big	blue	TRUE	FALSE	FALSE	FALSE	FALSE	0.526842105263158	0.305238095238095	green	0.221604010025063	0.63316265060241	0.75	0.622352941176471	0.7665	0.628333333333333	-0.0165	0.494559841740851	-0.00598039215686197	0.497609155757624	big_green_guitar	5	5	big_green_guitar	4	2	big_green_guitar	2	1	big_green_guitar	3	3
2662-0	7	small_red_toothbrush	size	minimal	size	color redundant	4	4	0	small		small	1	0	toothbrush	small	red	FALSE	TRUE	FALSE	FALSE	FALSE	0.752380952380952	0.776315789473684	blue	-0.0239348370927319	0.49217148946635	0.698947368421053	0.617142857142857	0.848888888888889	0.801428571428571	-0.149941520467836	0.451564152939399	-0.184285714285714	0.435045317220544	big_red_toothbrush	4	1	big_red_toothbrush	1	4	big_red_toothbrush	3	3	big_red_toothbrush	5	5
2662-0	8	small_green_bracelet	color	minimal	color	size redundant	4	1	0.75	green		green	1	0	bracelet	small	green	TRUE	FALSE	FALSE	FALSE	FALSE	0.514545454545455	0.564444444444444	purple	-0.049898989898989	0.476876989327842	0.718947368421053	0.67	0.7465	0.644166666666667	-0.0275526315789471	0.490599242192972	0.025833333333333	0.509828788839569	big_purple_bracelet	3	3	big_purple_bracelet	4	4	small_purple_bracelet	1	1	big_purple_bracelet	5	5
2662-0	9	small_brown_turtle	color	minimal	color	size redundant	2	2	0	green		green	1	0	turtle	small	brown	TRUE	FALSE	FALSE	FALSE	FALSE	0.866666666666667	0.110526315789474	black	0.756140350877193	0.886894075403949	0.826363636363636	0.807272727272727	0.664117647058823	0.539	0.162245989304813	0.554427382319173	0.268272727272727	0.599635356877574	small_black_turtle	4	3	small_black_turtle	3	4	undefined	undefined	undefined	undefined	undefined	undefined
2662-0	11	big_pink_teacup	size	minimal	size	color redundant	3	2	0.333333333333333	large		large	1	0	teacup	big	pink	FALSE	TRUE	FALSE	FALSE	FALSE	0.194615384615385	0.852592592592593	white	-0.657977207977208	0.185842152515167	0.581111111111111	0.59	0.870952380952381	0.912	-0.28984126984127	0.40019676432007	-0.322	0.392809587217044	small_pink_teacup	3	4	small_white_teacup	4	3	small_pink_teacup	2	1	undefined	undefined	undefined
2662-0	14	big_blue_book	color	minimal	color	size redundant	2	1	0.5	blue		blue	1	0	book	big	blue	TRUE	FALSE	FALSE	FALSE	FALSE	0.67952380952381	0.853684210526316	black	-0.174160401002506	0.44320392317123	0.775	0.757857142857143	0.85304347826087	0.709230769230769	-0.07804347826087	0.476031512885565	0.048626373626374	0.516572413018239	big_black_book	3	3	small_black_book	2	4	undefined	undefined	undefined	undefined	undefined	undefined
2662-0	16	big_green_chair	size	minimal	size	color redundant	4	3	0.25	large		large	1	0	chair	big	green	FALSE	TRUE	FALSE	FALSE	FALSE	0.164210526315789	0.606190476190476	red	-0.441979949874687	0.213149419304466	0.703333333333333	0.409166666666667	0.692777777777778	0.678	0.010555555555555	0.503780342220453	-0.268833333333333	0.376360570289744	small_red_chair	1	3	small_green_chair	2	2	small_green_chair	3	1	small_green_chair	4	4
2662-0	17	small_purple_coathanger	size	minimal	size	color redundant	3	3	0	small		small	1	0	coathanger	small	purple	FALSE	TRUE	FALSE	FALSE	FALSE	0.191363636363636	0.187777777777778	orange	0.00358585858585803	0.504728919674969	0.574166666666667	0.407	0.479473684210526	0.3	0.0946929824561411	0.544936102901386	0.107	0.575671852899576	big_purple_coathanger	4	3	big_purple_coathanger	1	4	big_purple_coathanger	3	2	undefined	undefined	undefined
2662-0	19	small_pink_weddingcake	size	minimal	size	color redundant	4	4	0	small		small	1	0	weddingcake	small	pink	FALSE	TRUE	FALSE	FALSE	FALSE	0.400416666666667	0.88625	white	-0.485833333333333	0.311204663212435	0.760666666666667	0.443333333333333	0.781739130434783	0.745384615384615	-0.021072463768116	0.493168962471576	-0.302051282051282	0.372950819672131	big_pink_weddingcake	4	2	big_pink_weddingcake	1	3	big_pink_weddingcake	5	1	big_pink_weddingcake	3	4
2662-0	21	big_blue_tack	color	minimal	color	size redundant	4	2	0.5	blue		blue	1	0	tack	big	blue	TRUE	FALSE	FALSE	FALSE	FALSE	0.705625	0.781666666666667	red	-0.076041666666667	0.474436195545595	0.794	0.875714285714286	0.88	0.835	-0.086	0.474313022700119	0.040714285714286	0.511899791231733	big_red_tack	5	4	big_red_tack	2	2	small_red_tack	1	3	small_red_tack	4	1
2662-0	24	small_blue_binder	color	minimal	color	size redundant	3	3	0	blue		blue	1	0	binder	small	blue	TRUE	FALSE	FALSE	FALSE	FALSE	0.765555555555556	0.588181818181818	green	0.177373737373738	0.5655126100582	0.673529411764706	0.642222222222222	0.676153846153846	0.5825	-0.00262443438913995	0.499027759152474	0.059722222222222	0.524381946019505	small_green_binder	1	3	small_green_binder	3	1	small_green_binder	2	2	undefined	undefined	undefined
