Item,Color,Utterance,Typicality,CI.low,CI.high
apple,blue,black,0.072,0.0325,0.1205125
apple,blue,blue,0.904,0.871140625,0.9323984375
apple,blue,brown,0.06,0.0257040816326531,0.1045
apple,blue,green,0.106,0.0561845238095238,0.16810119047619
apple,blue,orange,0.057,0.0161442307692308,0.120778846153846
apple,blue,purple,0.124,0.04519,0.23044
apple,blue,red,0.07,0.02,0.128395348837209
apple,blue,yellow,0.067,0.0170277777777778,0.134444444444444
apple,green,black,0.022,0.00787878787878788,0.04
apple,green,blue,0.05,0.0124324324324324,0.114608108108108
apple,green,brown,0.081,0.0428097826086957,0.122614130434783
apple,green,green,0.795,0.756768229166667,0.8296953125
apple,green,orange,0.028,0.0107692307692308,0.0503846153846154
apple,green,purple,0.028,0.00965833333333333,0.05
apple,green,red,0.068,0.02475,0.12401875
apple,green,yellow,0.172,0.1261625,0.2261875
apple,red,black,0.084,0.0479011627906977,0.126052325581395
apple,red,blue,0.056,0.0195555555555556,0.0975611111111111
apple,red,brown,0.215,0.1434875,0.28500625
apple,red,green,0.044,0.0209464285714286,0.0711964285714286
apple,red,orange,0.088,0.051171568627451,0.129411764705882
apple,red,purple,0.139,0.0841458333333333,0.195006944444444
apple,red,red,0.76,0.722390625,0.794377604166667
apple,red,yellow,0.011,0.004,0.0204
avocado,black,black,0.959,0.9334296875,0.98
avocado,black,blue,0.075,0.0390182926829268,0.118067073170732
avocado,black,brown,0.097,0.0464285714285714,0.164547619047619
avocado,black,green,0.046,0.0192678571428571,0.0778660714285714
avocado,black,orange,0.01,0.00321428571428571,0.0182232142857143
avocado,black,purple,0.049,0.0186206896551724,0.0893275862068965
avocado,black,red,0.086,0.03125,0.14876875
avocado,black,yellow,0.045,0.0173277777777778,0.0829111111111111
avocado,green,black,0.106,0.0544574468085106,0.169590425531915
avocado,green,blue,0.062,0.0338967391304348,0.100875
avocado,green,brown,0.143,0.09224375,0.19703125
avocado,green,green,0.662,0.6116640625,0.709484375
avocado,green,orange,0.027,0.0105808823529412,0.0455955882352941
avocado,green,purple,0.046,0.0209677419354839,0.0787177419354839
avocado,green,red,0.018,0.00699166666666667,0.0313333333333333
avocado,green,yellow,0.039,0.0176666666666667,0.0643333333333333
avocado,red,black,0.096,0.0428951612903226,0.163241935483871
avocado,red,blue,0.064,0.0320448717948718,0.101294871794872
avocado,red,brown,0.341,0.267727272727273,0.412318181818182
avocado,red,green,0.066,0.0230673076923077,0.123471153846154
avocado,red,orange,0.093,0.0546611111111111,0.142255555555556
avocado,red,purple,0.219,0.148625,0.291607954545455
avocado,red,red,0.509,0.457598958333333,0.5527265625
avocado,red,yellow,0.031,0.0162732558139535,0.0469767441860465
banana,blue,black,0.042,0.0216216216216216,0.0689189189189189
banana,blue,blue,0.914,0.88978125,0.934796875
banana,blue,brown,0.025,0.00452380952380952,0.061672619047619
banana,blue,green,0.02,0.0105263157894737,0.0297434210526316
banana,blue,orange,0.085,0.0299848484848485,0.149424242424242
banana,blue,purple,0.061,0.024491935483871,0.109685483870968
banana,blue,red,0.037,0.0037037037037037,0.0985185185185185
banana,blue,yellow,0.054,0.0229594594594595,0.0921689189189189
banana,brown,black,0.184,0.1015,0.281522727272727
banana,brown,blue,0.042,0.0141666666666667,0.0858611111111111
banana,brown,brown,0.838,0.79121875,0.878236979166667
banana,brown,green,0.06,0.0330434782608696,0.0934891304347826
banana,brown,orange,0.085,0.0334296875,0.1534453125
banana,brown,purple,0.087,0.0402635135135135,0.142506756756757
banana,brown,red,0.077,0.0318355263157895,0.130539473684211
banana,brown,yellow,0.059,0.02075,0.10874358974359
banana,yellow,black,0.047,0.020719512195122,0.0770853658536585
banana,yellow,blue,0.063,0.0245,0.10950625
banana,yellow,brown,0.094,0.046472972972973,0.146763513513514
