gameid	context	NormedTypicality	UtteranceType	Color	ColorAndType	Type	ColorMentioned	ItemMentioned	Other	Item	TargetColor	Target	Dist1	Dist2	UttforBDA
5794-2	overinformative	0.696	type	0	0	1	FALSE	TRUE	FALSE	avocado	red	red_avocado	orange_pear	blue_apple	avocado
5794-2	overinformative	0.686	type	0	0	1	FALSE	TRUE	FALSE	pear	orange	orange_pear	black_pepper	black_avocado	pear
5794-2	informative	0.812	color_and_type	0	1	0	TRUE	TRUE	FALSE	avocado	black	black_avocado	purple_tomato	red_avocado	black_avocado
5794-2	overinformative	0.462	color	1	0	0	TRUE	FALSE	FALSE	apple	blue	blue_apple	red_pepper	orange_pepper	blue
5794-2	informative-cc	0.966	color_and_type	0	1	0	TRUE	TRUE	FALSE	avocado	green	green_avocado	black_avocado	green_pepper	green_avocado
5794-2	overinformative-cc	0.419	color_and_type	0	1	0	TRUE	TRUE	FALSE	banana	blue	blue_banana	blue_apple	green_apple	blue_banana
5794-2	overinformative	0.961	color_and_type	0	1	0	TRUE	TRUE	FALSE	apple	green	green_apple	blue_banana	purple_carrot	green_apple
5794-2	overinformative	0.924	type	0	0	1	FALSE	TRUE	FALSE	pear	yellow	yellow_pear	blue_apple	blue_banana	pear
5794-2	overinformative-cc	0.966	type	0	0	1	FALSE	TRUE	FALSE	avocado	green	green_avocado	green_pepper	red_tomato	avocado
5794-2	informative-cc	0.976	color_and_type	0	1	0	TRUE	TRUE	FALSE	carrot	orange	orange_carrot	brown_carrot	orange_pepper	orange_carrot
