Item	Color	Typicality	CI.low	CI.high
avocado	black	0.643478260869565	0.500434782608696	0.779141304347826
avocado	green	0.863529411764706	0.769941176470588	0.935882352941176
balloon	pink	0.693181818181818	0.604056818181818	0.782284090909091
balloon	yellow	0.661111111111111	0.529444444444444	0.788902777777778
belt	black	0.909130434782609	0.868673913043478	0.948260869565217
belt	brown	0.870588235294118	0.792926470588235	0.942352941176471
bike	purple	0.349	0.264	0.4430125
bike	red	0.868	0.7984875	0.9265125
billiardball	orange	0.827826086956522	0.742173913043478	0.90479347826087
billiardball	purple	0.645294117647059	0.492338235294118	0.783544117647059
binder	blue	0.765555555555556	0.662208333333333	0.856138888888889
binder	green	0.588181818181818	0.484965909090909	0.695454545454545
book	black	0.853684210526316	0.783144736842105	0.91578947368421
book	blue	0.67952380952381	0.57475	0.774297619047619
bracelet	green	0.514545454545455	0.406352272727273	0.617738636363636
bracelet	purple	0.564444444444444	0.482208333333333	0.644458333333333
bucket	pink	0.351923076923077	0.276519230769231	0.435807692307692
bucket	red	0.802857142857143	0.709982142857143	0.885017857142857
butterfly	blue	0.646842105263158	0.51471052631579	0.763710526315789
butterfly	purple	0.39047619047619	0.294273809523809	0.490535714285714
candle	blue	0.494444444444444	0.341055555555556	0.651236111111111
candle	red	0.731818181818182	0.674965909090909	0.790022727272727
cap	blue	0.397692307692308	0.293019230769231	0.500826923076923
cap	orange	0.376296296296296	0.290722222222222	0.463731481481481
chair	green	0.164210526315789	0.0989473684210526	0.237381578947368
chair	red	0.606190476190476	0.508559523809524	0.713821428571428
coathanger	orange	0.187777777777778	0.0927777777777778	0.309472222222222
coathanger	purple	0.191363636363636	0.139545454545455	0.244090909090909
comb	black	0.937058823529412	0.887647058823529	0.977073529411765
comb	blue	0.67695652173913	0.557760869565217	0.794391304347826
cushion	blue	0.618333333333333	0.519572916666667	0.713395833333333
cushion	orange	0.62625	0.528734375	0.7281875
flower	purple	0.813703703703704	0.745925925925926	0.879268518518519
flower	red	0.839230769230769	0.789211538461538	0.89
framee	green	0.235	0.162	0.3115125
framee	pink	0.26	0.1699625	0.3585
golfball	blue	0.762916666666667	0.64415625	0.8754375
golfball	pink	0.185	0.11	0.268765625
guitar	blue	0.526842105263158	0.410526315789474	0.64475
guitar	green	0.305238095238095	0.20852380952381	0.41047619047619
hairdryer	pink	0.2975	0.213975	0.3910125
hairdryer	purple	0.332	0.2585	0.4250125
jacket	brown	0.703125	0.598734375	0.801890625
jacket	green	0.48625	0.38875	0.600416666666667
napkin	orange	0.464347826086957	0.355608695652174	0.57045652173913
napkin	yellow	0.347058823529412	0.241161764705882	0.46
ornament	blue	0.801052631578947	0.719473684210526	0.874210526315789
ornament	purple	0.674761904761905	0.600452380952381	0.751928571428572
pepper	green	0.873125	0.809359375	0.934375
pepper	red	0.922916666666667	0.880833333333333	0.96084375
phone	pink	0.273157894736842	0.195763157894737	0.358421052631579
phone	white	0.812380952380952	0.737607142857143	0.883821428571429
rock	green	0.1796	0.11279	0.24683
rock	purple	0.108666666666667	0.0399833333333333	0.211383333333333
rug	blue	0.604736842105263	0.482631578947368	0.722105263157895
rug	purple	0.288095238095238	0.217142857142857	0.36572619047619
shoe	white	0.6905	0.5835	0.790525
shoe	yellow	0.3075	0.1974875	0.4310125
stapler	purple	0.326666666666667	0.236190476190476	0.427154761904762
stapler	red	0.531052631578947	0.423671052631579	0.645289473684211
tack	blue	0.705625	0.574359375	0.832640625
tack	red	0.781666666666667	0.693322916666667	0.861291666666667
teacup	pink	0.194615384615385	0.11075	0.292346153846154
teacup	white	0.852592592592593	0.779212962962963	0.917416666666667
toothbrush	blue	0.776315789473684	0.706828947368421	0.848973684210526
toothbrush	red	0.752380952380952	0.680952380952381	0.820964285714286
turtle	black	0.110526315789474	0.0247368421052632	0.212657894736842
turtle	brown	0.866666666666667	0.78377380952381	0.937619047619048
weddingcake	pink	0.400416666666667	0.298729166666667	0.510010416666667
weddingcake	white	0.88625	0.778078125	0.97375
yarn	purple	0.599090909090909	0.488170454545455	0.717284090909091
yarn	red	0.744444444444444	0.678319444444444	0.819444444444444
