gameid	Trial	condition	TargetItem	basiclevelClickedObj	superdomainClickedObj	speakerMessages	listenerMessages	refExp	clickedType	sub	basic	super	moreThanOneLevelMentioned	additionalAttrMentioned	oneMentioned	theMentioned	fullSentence	spLocsClickedObj	lisLocsClickedObj	alt1Name	alt1SpLocs	alt1LisLocs	alt1Basiclevel	alt1superdomain	alt2Name	alt2SpLocs	alt2LisLocs	alt2Basiclevel	alt2superdomain
2298-c	28	basic33	tulip	flower	plant	Flower		Flower	tulip	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4	2	horse	2	3	NA	animal	socks	3	4	NA	clothing
2298-c	29	basic22	convertible	car	vehicle	Convertible		Convertible	convertible	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4	3	motorcycle	2	2	NA	vehicle	firetruck	3	4	NA	vehicle
2298-c	30	basic12	diningTable	table	furniture	Long table		Long table	diningTable	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	2	2	sideTable	4	4	table	furniture	wardrobe	3	3	NA	furniture
2298-c	31	basic12	blackBear	bear	animal	Bear		Bear	blackBear	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	3	3	lion	2	2	NA	animal	koalaBear	4	4	bear	animal
2298-c	36	basic23	poloShirt	shirt	clothing	Blue shirt		Blue shirt	poloShirt	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	4	2	rhino	3	4	NA	animal	bathrobe	2	3	NA	clothing
2298-c	39	basic23	mnMs	candy	snack	Candy		Candy	mnMs	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	2	2	popcorn	4	4	NA	snack	gloves	3	3	NA	clothing
2298-c	40	basic23	rose	flower	plant	Rose		Rose	rose	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4	4	elephant	3	3	NA	animal	pottedPlant	2	2	NA	plant
2298-c	42	basic33	hawaiiShirt	shirt	clothing	Shirt		Shirt	hawaiiShirt	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	3	3	grasses	4	4	NA	plant	lion	2	2	NA	animal
2298-c	43	basic22	pigeon	bird	animal	Bird		Bird	pigeon	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	2	4	lion	4	2	NA	animal	rhino	3	3	NA	animal
2298-c	44	basic23	coffeeTable	table	furniture	Table		Table	coffeeTable	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	2	4	grasses	4	2	NA	plant	bookcase	3	3	NA	furniture
2298-c	47	basic22	polarBear	bear	animal	Bear		Bear	polarBear	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4	4	crocodile	3	2	NA	animal	hamster	2	3	NA	animal
2298-c	51	basic22	pug	dog	animal	Pug		Pug	pug	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	2	3	iguana	4	4	NA	animal	horse	3	2	NA	animal
2298-c	52	basic22	germanShepherd	dog	animal	Dog		Dog	germanShepherd	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	3	2	iguana	2	3	NA	animal	squirrel	4	4	NA	animal
2298-c	53	basic33	daisy	flower	plant	Flower		Flower	daisy	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	3	3	cow	2	4	NA	animal	gloves	4	2	NA	clothing
2298-c	54	basic12	swordFish	fish	animal	Pointy fish		Pointy fish	swordFish	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	4	4	squirrel	3	3	NA	animal	discusFish	2	2	fish	animal
2298-c	55	basic12	pandaBear	bear	animal	Panda		Panda	pandaBear	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4	2	bison	2	4	NA	animal	koalaBear	3	3	bear	animal
2298-c	56	basic33	dalmatian	dog	animal	Dalmation		Dalmation	dalmatian	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	2	4	bookcase	3	2	NA	furniture	cookies	4	3	NA	snack
2298-c	57	basic22	catfish	fish	animal	Fish		Fish	catfish	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	2	3	iguana	4	4	NA	animal	horse	3	2	NA	animal
2298-c	63	basic33	bedsideTable	table	furniture	Furniture		Furniture	bedsideTable	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	4	2	motorcycle	3	3	NA	vehicle	cow	2	4	NA	animal
2298-c	68	basic23	sportsCar	car	vehicle	Small car		Small car	sportsCar	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	3	4	ambulance	4	3	NA	vehicle	sheep	2	2	NA	animal
2298-c	70	basic23	hummingBird	bird	animal	Bird		Bird	hummingBird	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	3	2	rhino	2	4	NA	animal	gloves	4	3	NA	clothing
2298-c	72	basic12	skittles	candy	snack	Skittles		Skittles	skittles	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	2	2	candyCorn	4	3	candy	snack	popcorn	3	4	NA	snack
2662-0	2	basic23	swordFish	fish	animal	fish		fish	swordFish	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	3	3	lobster	4	2	NA	animal	train	2	4	NA	vehicle
2662-0	10	basic33	sunflower	flower	plant	flower		flower	sunflower	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	2	2	wardrobe	3	3	NA	furniture	rabbit	4	4	NA	animal
2662-0	12	basic22	pigeon	bird	animal	bird		bird	pigeon	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	2	4	rhino	3	2	NA	animal	snake	4	3	NA	animal
2662-0	18	basic22	husky	dog	animal	canine		canine	husky	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4	2	rabbit	2	4	NA	animal	sheep	3	3	NA	animal
2662-0	20	basic12	picnicTable	table	furniture	picnic		picnic	picnicTable	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	3	3	sideTable	2	2	table	furniture	bookcase	4	4	NA	furniture
2662-0	23	basic33	parrot	bird	animal	bird		bird	parrot	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4	2	ambulance	2	3	NA	vehicle	rosemary	3	4	NA	plant
2662-0	26	basic33	bedsideTable	table	furniture	furniture		furniture	bedsideTable	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	2	2	cookies	3	4	NA	snack	pig	4	3	NA	animal
2662-0	30	basic22	catfish	fish	animal	fish		fish	catfish	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	2	3	lobster	3	2	NA	animal	kitten	4	4	NA	animal
2662-0	32	basic23	mnMs	candy	snack	candy		candy	mnMs	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4	2	ambulance	2	4	NA	vehicle	popcorn	3	3	NA	snack
2662-0	33	basic12	diningTable	table	furniture	long table		long table	diningTable	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	4	2	bookcase	3	4	NA	furniture	sideTable	2	3	table	furniture
2662-0	34	basic23	daisy	flower	plant	flower		flower	daisy	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	3	3	crocodile	2	2	NA	animal	ivy	4	4	NA	plant
2662-0	40	basic12	polarBear	bear	animal	polar		polar	polarBear	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	2	4	koalaBear	4	3	bear	animal	pig	3	2	NA	animal
2662-0	42	basic33	coffeeTable	table	furniture	table		table	coffeeTable	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4	4	popcorn	3	2	NA	snack	sheep	2	3	NA	animal
2662-0	43	basic33	tShirt	shirt	clothing	shirt		shirt	tShirt	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	2	3	pottedPlant	4	4	NA	plant	sheep	3	2	NA	animal
2662-0	47	basic33	pandaBear	bear	animal	bear		bear	pandaBear	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	3	2	bookcase	2	4	NA	furniture	bathrobe	4	3	NA	clothing
2662-0	48	basic33	minivan	car	vehicle	vehicle		vehicle	minivan	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	4	4	wardrobe	3	2	NA	furniture	grasses	2	3	NA	plant
2662-0	53	basic22	goldFish	fish	animal	fish		fish	goldFish	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4	2	hamster	3	4	NA	animal	snake	2	3	NA	animal
2662-0	55	basic22	sportsCar	car	vehicle	car		car	sportsCar	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4	2	firetruck	3	4	NA	vehicle	ambulance	2	3	NA	vehicle
2662-0	56	basic23	eagle	bird	animal	bird		bird	eagle	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4	4	pottedPlant	3	3	NA	plant	iguana	2	2	NA	animal
2662-0	57	basic23	hawaiiShirt	shirt	clothing	shirt		shirt	hawaiiShirt	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	2	4	gloves	4	2	NA	clothing	bookcase	3	3	NA	furniture
