target,freq,length
animal,0.000117655,6
bear,1.9e-05,4
bedsidetable,4.21e-07,8.31
bird,6.03e-05,4.01
blackbear,5.61e-07,9.88
candy,6.34e-06,5.05
car,0.000113414,3.01
catfish,1.05e-06,6.64
clothing,2.35e-05,8
clownfish,2.97e-08,9.11
coffeetable,1.06e-06,9.08
convertible,3.64e-07,11.19
daisy,3.37e-06,5.91
dalmatian,1.46e-07,8.8
diningtable,5.4e-07,12
dog,6.42e-05,3.05
dressshirt,1.65e-07,11
eagle,1.05e-05,4.91
fish,5.83e-05,4
flower,4.86e-05,5.98
furniture,1.8e-05,9
germanshepherd,2.88e-07,13.13
goldfish,1.49e-07,7.87
grizzlybear,4.97e-07,9
gummybears,1.28e-08,8.53
hawaiishirt,2.97e-10,12.62
hummingbird,8.43e-07,10.08
husky,2.26e-07,4.68
jellybeans,1.68e-07,9.34
mnms,1.59e-10,4.41
minivan,2.63e-07,5.71
pandabear,1.87e-08,5.48
parrot,2.65e-06,6.14
picnictable,5.19e-07,9.73
pigeon,5.02e-06,5.87
plant,0.000155648,5
polarbear,6.8e-07,8.83
poloshirt,1.63e-07,6.7
pug,3.57e-07,3.04
rose,2.53e-05,4
shirt,2.16e-05,5
skittles,9.14e-08,6.87
snack,4.43e-06,5
sportscar,7.1e-07,9.82
sunflower,1.72e-06,8.95
suv,5.71e-07,3
swordfish,5.83e-07,8.03
tshirt,1.05e-07,6.36
table,0.000309774,4.99
tulip,1.14e-06,4.39
vehicle,4.63e-05,7
