itemtype,labeltype,item,label,meanresponse,YMin,YMax
dist_samesuper,sub,crocodile,a dalmatian,0.0164285714285714,0.00785714285714286,0.0257142857142857
dist_samesuper,sub,crocodile,a German Shepherd,0.0114285714285714,0.00428571428571429,0.0192857142857143
dist_samesuper,sub,crocodile,a grizzly bear,0.0514285714285714,0.01,0.112892857142857
dist_samesuper,sub,crocodile,a hummingbird,0.0422222222222222,0.00888888888888889,0.0988888888888889
dist_samesuper,sub,crocodile,a husky,0.0184210526315789,0.00630263157894737,0.0331578947368421
dist_samesuper,sub,crocodile,a panda bear,0.0135294117647059,0.00764705882352941,0.0194117647058824
dist_samesuper,sub,crocodile,a parrot,0.0307692307692308,0.00692307692307692,0.0630769230769231
dist_samesuper,sub,crocodile,a pigeon,0.016,0.005,0.027
dist_samesuper,sub,crocodile,a polar bear,0.0204761904761905,0.010952380952381,0.0319047619047619
dist_samesuper,sub,crocodile,a pug,0.0189473684210526,0.01,0.0315789473684211
dist_samesuper,sub,discusfish,a catfish,0.235454545454545,0.10725,0.372727272727273
dist_samesuper,sub,discusfish,a clownfish,0.529444444444444,0.353875,0.710555555555556
dist_samesuper,sub,discusfish,a goldfish,0.448235294117647,0.318220588235294,0.574720588235294
dist_samesuper,sub,discusfish,a swordfish,0.106923076923077,0.0345961538461538,0.193115384615385
dist_samesuper,sub,dress,a dress shirt,0.172,0.0835,0.2720875
dist_samesuper,sub,dress,a Hawaii shirt,0.12,0.0611617647058824,0.188823529411765
dist_samesuper,sub,dress,a polo shirt,0.0577777777777778,0.0272222222222222,0.0955694444444444
dist_samesuper,sub,dress,a t-shirt,0.094375,0.03375,0.175640625
dist_samesuper,sub,elephant,a black bear,0.0918181818181818,0.00545454545454545,0.257272727272727
dist_samesuper,sub,elephant,a catfish,0.0170588235294118,0.0105882352941176,0.0241176470588235
dist_samesuper,sub,elephant,a clownfish,0.0633333333333333,0.0208125,0.118375
dist_samesuper,sub,elephant,a dalmatian,0.0269230769230769,0.00307692307692308,0.05925
dist_samesuper,sub,elephant,a German Shepherd,0.00764705882352941,0.00294117647058824,0.0129411764705882
dist_samesuper,sub,elephant,a grizzly bear,0.0818181818181818,0.0290909090909091,0.161840909090909
dist_samesuper,sub,elephant,a hummingbird,0.0207692307692308,0.00769230769230769,0.0369230769230769
dist_samesuper,sub,elephant,a panda bear,0.0211764705882353,0.00529411764705882,0.0470735294117647
dist_samesuper,sub,elephant,a parrot,0.0215384615384615,0.00769230769230769,0.0376923076923077
dist_samesuper,sub,elephant,a pigeon,0.0246153846153846,0.0130769230769231,0.04
dist_samesuper,sub,elephant,a polar bear,0.0185714285714286,0.00857142857142857,0.0285714285714286
dist_samesuper,sub,elephant,a swordfish,0.0314285714285714,0.0135714285714286,0.0557142857142857
dist_samesuper,sub,elephant,an eagle,0.0255555555555556,0.00888888888888889,0.0522222222222222
dist_samesuper,sub,firetruck,a convertible,0.0323076923076923,0.0115384615384615,0.06
dist_samesuper,sub,firetruck,a minivan,0.0916666666666667,0.0408333333333333,0.1475
dist_samesuper,sub,firetruck,a sports car,0.035,0.00928571428571429,0.0664285714285714
dist_samesuper,sub,firetruck,an SUV,0.0790909090909091,0.03,0.139090909090909
dist_samesuper,sub,gloves,a dress shirt,0.036875,0.009375,0.073125
dist_samesuper,sub,gloves,a Hawaii shirt,0.0433333333333333,0.0108333333333333,0.0958541666666667
dist_samesuper,sub,gloves,a polo shirt,0.0264285714285714,0.00928571428571429,0.0485714285714286
dist_samesuper,sub,gloves,a t-shirt,0.0183333333333333,0.00416666666666667,0.0358333333333333
dist_samesuper,sub,grasses,a daisy,0.11,0.048875,0.190555555555556
dist_samesuper,sub,grasses,a rose,0.106363636363636,0.0136363636363636,0.240909090909091
dist_samesuper,sub,grasses,a sunflower,0.113846153846154,0.0446153846153846,0.196923076923077
dist_samesuper,sub,grasses,a tulip,0.153529411764706,0.0482205882352941,0.28125
dist_samesuper,sub,greyhound,a dalmatian,0.183636363636364,0.08,0.303681818181818
dist_samesuper,sub,greyhound,a German Shepherd,0.195333333333333,0.07595,0.3334
dist_samesuper,sub,greyhound,a husky,0.252,0.13265,0.400066666666667
dist_samesuper,sub,greyhound,a pug,0.11,0.018,0.233025
dist_samesuper,sub,horse,a black bear,0.0457142857142857,0.0228571428571429,0.0742857142857143
dist_samesuper,sub,horse,a catfish,0.0123076923076923,0.00384615384615385,0.0223076923076923
dist_samesuper,sub,horse,a clownfish,0.0264285714285714,0.0121428571428571,0.045
dist_samesuper,sub,horse,a dalmatian,0.0136363636363636,0.00363636363636364,0.0272727272727273
dist_samesuper,sub,horse,a German Shepherd,0.00692307692307692,0.00230769230769231,0.0123076923076923
