gameid, time, roundNum, trialType, condition,nameClickedObj, targetStatusClickedObj, spLocsClickedObj, lisLocsClickedObj, basiclevelClickedObj, superdomainClickedObj, alt1Name, alt1TargetStatus, alt1SpLocs, alt1LisLocs, alt1Basiclevel, alt1superdomain, alt2Name, alt2TargetStatus, alt2SpLocs, alt2LisLocs, alt2Basiclevel, alt2superdomain, alt3Name, alt3TargetStatus, alt3SpLocs, alt3LisLocs, alt3Basiclevel, alt3superdomain, alt4Name, alt4TargetStatus, alt4SpLocs, alt4LisLocs, alt4Basiclevel, alt4superdomain
4855-c,1455301482768,50,colorSizeTrial,size31,big_red_toothbrush,target,3,3,NA,NA,small_blue_toothbrush,distractor,1,4,NA,NA,small_blue_toothbrush,distractor,4,2,NA,NA,small_red_toothbrush,distractor,2,1,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined
4855-c,1455301489743,51,subSuperTrial,basic22,dressShirt,target,3,2,shirt,clothing,gloves,distractor,2,3,NA,clothing,bathrobe,distractor,4,4,NA,clothing,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
4855-c,1455301496662,52,colorSizeTrial,size31,big_white_shoe,target,2,1,NA,NA,small_yellow_shoe,distractor,3,2,NA,NA,small_yellow_shoe,distractor,1,3,NA,NA,small_white_shoe,distractor,4,4,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined
4855-c,1455301507625,53,colorSizeTrial,color32,small_purple_butterfly,target,3,1,NA,NA,big_blue_butterfly,distractor,4,3,NA,NA,small_blue_butterfly,distractor,1,4,NA,NA,small_blue_butterfly,distractor,2,2,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined
4855-c,1455301512458,54,subSuperTrial,basic23,pug,target,2,4,dog,animal,rabbit,distractor,4,2,NA,animal,rosemary,distractor,3,3,NA,plant,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
4855-c,1455301516852,55,colorSizeTrial,color42,big_blue_binder,target,4,2,NA,NA,small_green_binder,distractor,1,3,NA,NA,big_green_binder,distractor,2,1,NA,NA,big_green_binder,distractor,3,5,NA,NA,small_green_binder,distractor,5,4,NA,NA
4855-c,1455301524897,56,subSuperTrial,basic12,husky,target,4,2,dog,animal,rabbit,distractor,2,3,NA,animal,greyhound,distractor,3,4,dog,animal,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
4855-c,1455301533395,57,colorSizeTrial,color41,big_white_weddingcake,target,2,5,NA,NA,big_pink_weddingcake,distractor,4,2,NA,NA,small_pink_weddingcake,distractor,3,4,NA,NA,small_pink_weddingcake,distractor,1,1,NA,NA,small_pink_weddingcake,distractor,5,3,NA,NA
4855-c,1455301538169,58,subSuperTrial,basic33,blackBear,target,2,2,bear,animal,lamp,distractor,3,4,NA,furniture,dress,distractor,4,3,NA,clothing,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
4855-c,1455301542577,59,subSuperTrial,basic23,diningTable,target,2,2,table,furniture,wardrobe,distractor,3,3,NA,furniture,motorcycle,distractor,4,4,NA,vehicle,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
4855-c,1455301547047,60,colorSizeTrial,color41,small_orange_cap,target,4,3,NA,NA,big_blue_cap,distractor,1,5,NA,NA,big_blue_cap,distractor,3,1,NA,NA,small_blue_cap,distractor,5,4,NA,NA,big_blue_cap,distractor,2,2,NA,NA
4855-c,1455301552242,61,subSuperTrial,basic23,dalmatian,target,2,4,dog,animal,rhino,distractor,4,2,NA,animal,popcorn,distractor,3,3,NA,snack,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
