Item,Color,Utterance,Typicality,CI.low,CI.high
apple,blue,apple,0.462,0.391169491525424,0.53475
apple,blue,avocado,0.039,0.0124910714285714,0.0718214285714285
apple,blue,banana,0.04,0.0148,0.07161
apple,blue,carrot,0.035,0.00692307692307692,0.0807692307692308
apple,blue,pear,0.004,0,0.0114285714285714
apple,blue,pepper,0.045,0.0136,0.08561
apple,blue,tomato,0.034,0.00571428571428571,0.0778571428571428
apple,green,apple,0.961,0.934389830508475,0.980008474576271
apple,green,avocado,0.022,0.00928571428571429,0.0364464285714286
apple,green,banana,0.072,0.0172,0.1648
apple,green,carrot,0.023,0.00352941176470588,0.0552941176470588
apple,green,pear,0.14,0.0659259259259259,0.224518518518518
apple,green,pepper,0.014,0.00333333333333333,0.0289027777777778
apple,green,tomato,0.044,0.0173076923076923,0.0784711538461538
apple,red,apple,0.953,0.908974576271186,0.984580508474576
apple,red,avocado,0.052,0.0234519230769231,0.0880769230769231
apple,red,banana,0.07,0.0261538461538462,0.137307692307692
apple,red,carrot,0.011,0.00333333333333333,0.0206666666666667
apple,red,pear,0.014,0.00153846153846154,0.0284615384615385
apple,red,pepper,0.026,0.00823529411764706,0.0500147058823529
apple,red,tomato,0.088,0.03839,0.14322
avocado,black,apple,0.055,0.0225740740740741,0.0970555555555555
avocado,black,avocado,0.812,0.753720338983051,0.863906779661017
avocado,black,banana,0.036,0.0133333333333333,0.0640833333333333
avocado,black,carrot,0.016,0.00538461538461538,0.0284615384615385
avocado,black,pear,0.08,0.0303482142857143,0.151080357142857
avocado,black,pepper,0.08,0.0161111111111111,0.172236111111111
avocado,black,tomato,0.069,0.009375,0.179375
avocado,green,apple,0.022,0.0085,0.0360125
avocado,green,avocado,0.966,0.939487288135593,0.985088983050847
avocado,green,banana,0.046,0.0203611111111111,0.0766944444444444
avocado,green,carrot,0.06,0.017037037037037,0.121851851851852
avocado,green,pear,0.045,0.0129166666666667,0.09459375
avocado,green,pepper,0.069,0.0232142857142857,0.131071428571429
avocado,green,tomato,0.052,0.0108229166666667,0.107916666666667
avocado,red,apple,0.08,0.0381590909090909,0.137727272727273
avocado,red,avocado,0.696,0.621004237288136,0.764775423728814
avocado,red,banana,0.07,0.0303482142857143,0.119294642857143
avocado,red,carrot,0.008,0.00166666666666667,0.0200138888888889
avocado,red,pear,0.103,0.0288365384615385,0.191557692307692
avocado,red,pepper,0.104,0.0396160714285714,0.184303571428571
avocado,red,tomato,0.051,0.00684210526315789,0.128960526315789
banana,blue,apple,0.044,0.0129537037037037,0.0918981481481481
banana,blue,avocado,0.016,0.00692307692307692,0.0261730769230769
banana,blue,banana,0.419,0.339152542372881,0.504601694915254
banana,blue,carrot,0.039,0.0109090909090909,0.0691022727272727
banana,blue,pear,0.012,0.00529411764705882,0.0205882352941176
banana,blue,pepper,0.073,0.0105263157894737,0.165789473684211
banana,blue,tomato,0.042,0.0118425925925926,0.0822314814814815
banana,brown,apple,0.04,0.0169230769230769,0.0646346153846154
banana,brown,avocado,0.048,0.00523809523809524,0.129535714285714
banana,brown,banana,0.657,0.586737288135593,0.723063559322034
banana,brown,carrot,0.013,0.00333333333333333,0.025
banana,brown,pear,0.041,0.003125,0.087515625
banana,brown,pepper,0.06,0.0196153846153846,0.111538461538462
banana,brown,tomato,0.033,0.00541666666666667,0.06875
banana,yellow,apple,0.043,0.0180769230769231,0.0730865384615385
banana,yellow,avocado,0.024,0.008734375,0.045015625
banana,yellow,banana,0.979,0.963555084745763,0.989834745762712
banana,yellow,carrot,0.011,0.0025,0.0216666666666667
banana,yellow,pear,0.074,0.0239130434782609,0.133478260869565
banana,yellow,pepper,0.07,0.01559,0.14041
banana,yellow,tomato,0.018,0.00714285714285714,0.0307142857142857
carrot,brown,apple,0.059,0.014,0.112016666666667
carrot,brown,avocado,0.053,0.00796666666666667,0.112666666666667
