Item,Color,Utterance,Typicality,CI.low,CI.high
apple,red,purple tomato,0.009,0,0.025
apple,red,red apple,0.982,0.9764375,0.9873140625
apple,red,red avocado,0.073,0.0289342105263158,0.130552631578947
apple,red,red pepper,0.064,0.02665,0.114666666666667
apple,red,red tomato,0.12,0.0461666666666667,0.231928571428571
apple,red,yellow banana,0.063,0.0172083333333333,0.119444444444444
apple,red,yellow pear,0.019,0.00416666666666667,0.04
avocado,black,black avocado,0.939,0.9145453125,0.9616296875
avocado,black,black pepper,0.129,0.04,0.256766666666667
avocado,black,blue apple,0.021,0.00866666666666667,0.0386833333333333
avocado,black,blue banana,0.022,0.007,0.039025
avocado,black,brown banana,0.019,0.00465,0.0406833333333333
avocado,black,brown carrot,0.053,0.0205555555555556,0.0922361111111111
avocado,black,green apple,0.029,0.0107692307692308,0.0515384615384615
avocado,black,green avocado,0.35,0.3075515625,0.39545
avocado,black,green pear,0.024,0.00571428571428571,0.0450178571428571
avocado,black,green pepper,0.046,0.0192307692307692,0.0777115384615385
avocado,black,green tomato,0.005,0.000714285714285714,0.0107142857142857
avocado,black,orange carrot,0.019,0.00117647058823529,0.0411764705882353
avocado,black,orange pear,0.018,0.00176470588235294,0.0411764705882353
avocado,black,orange pepper,0.018,0.00285714285714286,0.0435714285714286
avocado,black,purple carrot,0.015,0,0.0336363636363636
avocado,black,purple tomato,0.04,0,0.1
avocado,black,red apple,0.034,0.013,0.061
avocado,black,red avocado,0.184,0.1562328125,0.211815625
avocado,black,red pepper,0.023,0.00398333333333334,0.04535
avocado,black,red tomato,0.012,0.003,0.022
avocado,black,yellow banana,0.019,0.00857142857142857,0.0328571428571429
avocado,black,yellow pear,0.085,0.0315384615384615,0.144615384615385
avocado,green,black avocado,0.266,0.226559375,0.30494375
avocado,green,black pepper,0.042,0.00846153846153846,0.0830961538461538
avocado,green,blue apple,0.051,0.0241458333333333,0.0808541666666666
avocado,green,blue banana,0.016,0.00181818181818182,0.0354545454545455
avocado,green,brown banana,0.017,0.00333333333333333,0.035
avocado,green,brown carrot,0.022,0.0055,0.046025
avocado,green,green apple,0.06,0.00818181818181819,0.127272727272727
avocado,green,green avocado,0.966,0.949559375,0.9788125
