Item,Color,Utterance,Typicality,CI.low,CI.high
apple,blue,black,0.072,0.0365,0.121025
apple,blue,blue,0.904,0.870302083333333,0.934479166666667
apple,blue,brown,0.06,0.0250969387755102,0.107969387755102
apple,blue,green,0.106,0.0554642857142857,0.169529761904762
apple,blue,orange,0.057,0.0138461538461538,0.122711538461538
apple,blue,purple,0.124,0.04878,0.22882
apple,blue,red,0.07,0.0213953488372093,0.130011627906977
apple,blue,yellow,0.067,0.0140740740740741,0.14
apple,green,black,0.022,0.00909090909090909,0.0415151515151515
apple,green,blue,0.05,0.0118851351351351,0.111905405405405
apple,green,brown,0.081,0.0423858695652174,0.125657608695652
apple,green,green,0.795,0.757080729166667,0.829479166666667
apple,green,orange,0.028,0.0111538461538462,0.0476923076923077
apple,green,purple,0.028,0.00966666666666667,0.0503416666666667
apple,green,red,0.068,0.026725,0.12479375
apple,green,yellow,0.172,0.121158333333333,0.2308375
apple,red,black,0.084,0.0458139534883721,0.128843023255814
apple,red,blue,0.056,0.0213277777777778,0.102911111111111
apple,red,brown,0.215,0.1469875,0.2827875
apple,red,green,0.044,0.0221428571428571,0.0709583333333333
apple,red,orange,0.088,0.0515637254901961,0.126671568627451
apple,red,purple,0.139,0.0886041666666667,0.193895833333333
apple,red,red,0.76,0.72375,0.794802083333333
apple,red,yellow,0.011,0.004,0.02
avocado,black,black,0.959,0.9337421875,0.980104166666667
avocado,black,blue,0.075,0.040969512195122,0.11294512195122
avocado,black,brown,0.097,0.0435714285714286,0.158107142857143
avocado,black,green,0.046,0.0203571428571429,0.0792857142857143
avocado,black,orange,0.01,0.0035625,0.0182142857142857
avocado,black,purple,0.049,0.0213706896551724,0.083801724137931
avocado,black,red,0.086,0.03198125,0.1510625
avocado,black,yellow,0.045,0.0168888888888889,0.0802222222222222
avocado,green,black,0.106,0.0580691489361702,0.168755319148936
avocado,green,blue,0.062,0.0319565217391304,0.0943478260869565
avocado,green,brown,0.143,0.09225,0.20001875
avocado,green,green,0.662,0.614479166666667,0.711989583333333
avocado,green,orange,0.027,0.0111764705882353,0.0467720588235294
avocado,green,purple,0.046,0.0209516129032258,0.0764596774193548
avocado,green,red,0.018,0.00633333333333333,0.0326666666666667
avocado,green,yellow,0.039,0.0183333333333333,0.0630083333333333
avocado,red,black,0.096,0.0425645161290323,0.157104838709677
avocado,red,blue,0.064,0.0307692307692308,0.100269230769231
avocado,red,brown,0.341,0.265,0.416607954545455
avocado,red,green,0.066,0.0242307692307692,0.130461538461538
avocado,red,orange,0.093,0.05155,0.144472222222222
avocado,red,purple,0.219,0.150221590909091,0.291607954545455
avocado,red,red,0.509,0.459268229166667,0.558028645833333
avocado,red,yellow,0.031,0.0167441860465116,0.0472151162790698
banana,blue,black,0.042,0.0197297297297297,0.0665405405405405
banana,blue,blue,0.914,0.890205729166667,0.9345859375
banana,blue,brown,0.025,0.00452380952380952,0.0631011904761905
banana,blue,green,0.02,0.0107894736842105,0.0318486842105263
banana,blue,orange,0.085,0.0312121212121212,0.145787878787879
banana,blue,purple,0.061,0.0228951612903226,0.106451612903226
banana,blue,red,0.037,0.0037037037037037,0.0988981481481481
banana,blue,yellow,0.054,0.0205405405405405,0.0908175675675676
banana,brown,black,0.184,0.110901515151515,0.269128787878788
banana,brown,blue,0.042,0.0141597222222222,0.0880625
banana,brown,brown,0.838,0.7891640625,0.8809375
banana,brown,green,0.06,0.0302173913043478,0.0976141304347826
banana,brown,orange,0.085,0.0303046875,0.151265625
banana,brown,purple,0.087,0.0391689189189189,0.144087837837838
banana,brown,red,0.077,0.0315592105263158,0.135796052631579
banana,brown,yellow,0.059,0.0223012820512821,0.108980769230769
banana,yellow,black,0.047,0.02,0.0778048780487805
banana,yellow,blue,0.063,0.0284875,0.11203125
banana,yellow,brown,0.094,0.0470202702702703,0.156243243243243
banana,yellow,green,0.053,0.0248484848484848,0.0869848484848485
banana,yellow,orange,0.243,0.168514705882353,0.327058823529412
banana,yellow,purple,0.044,0.0193548387096774,0.0725806451612903
banana,yellow,red,0.076,0.0305064102564103,0.128980769230769
banana,yellow,yellow,0.736,0.687276041666667,0.781260416666667
carrot,brown,black,0.135,0.0631034482758621,0.227939655172414
carrot,brown,blue,0.042,0.015,0.0743333333333333
carrot,brown,brown,0.789,0.710583333333333,0.852558823529412
carrot,brown,green,0.053,0.023325,0.088
carrot,brown,orange,0.069,0.0267567567567568,0.128135135135135
carrot,brown,purple,0.055,0.0247222222222222,0.100013888888889
carrot,brown,red,0.098,0.0361209677419355,0.177112903225806
carrot,brown,yellow,0.079,0.0275862068965517,0.139327586206897
carrot,orange,black,0.069,0.033265306122449,0.114505102040816
carrot,orange,blue,0.056,0.0290852272727273,0.0902272727272727
carrot,orange,brown,0.143,0.0796764705882353,0.214455882352941
carrot,orange,green,0.05,0.0228205128205128,0.0830769230769231
carrot,orange,orange,0.902,0.865625,0.9338671875
carrot,orange,purple,0.018,0.00757575757575758,0.0312121212121212
carrot,orange,red,0.176,0.107330882352941,0.250294117647059
carrot,orange,yellow,0.163,0.102933823529412,0.225308823529412
carrot,purple,black,0.042,0.01924375,0.06775625
carrot,purple,blue,0.069,0.0308263888888889,0.118902777777778
carrot,purple,brown,0.044,0.02424375,0.068
carrot,purple,green,0.039,0.00793103448275862,0.0869051724137931
carrot,purple,orange,0.06,0.0239476744186047,0.109081395348837
carrot,purple,purple,0.875,0.842188775510204,0.910413265306123
carrot,purple,red,0.161,0.110714285714286,0.22072619047619
carrot,purple,yellow,0.056,0.0283333333333333,0.0866666666666667
pear,green,black,0.036,0.0105405405405405,0.0767702702702703
pear,green,blue,0.07,0.0368777777777778,0.109344444444444
pear,green,brown,0.059,0.0208428571428571,0.115492857142857
pear,green,green,0.651,0.601973958333333,0.696153645833333
pear,green,orange,0.083,0.0383333333333333,0.137526041666667
pear,green,purple,0.057,0.0214705882352941,0.100301470588235
pear,green,red,0.054,0.0202702702702703,0.106493243243243
pear,green,yellow,0.367,0.281913461538462,0.454615384615385
pear,orange,black,0.062,0.0263265306122449,0.105102040816327
pear,orange,blue,0.057,0.00999285714285714,0.1315
pear,orange,brown,0.144,0.0894285714285714,0.2
