alpha,lengthCost,freqCost,typWeight,logLikelihood,outputProb
15.833856142886388,2.8579464914992383,0,0.8701326283394938,-1271.2705393611811,-6.907755278982137
15.833856142886388,2.8579464914992383,0,0.8506765921856723,-1269.0032230294237,-6.907755278982137
15.89871161959524,2.9535528917888767,0,0.7069332541964313,-1262.9048096536667,-6.907755278982137
15.826625088294493,2.936889367213212,0,0.7141866339523943,-1262.673403551548,-6.907755278982137
15.789491374473037,2.936889367213212,0,0.7907245684203256,-1263.9221311869273,-6.907755278982137
15.65453352174346,2.856475330138198,0,0.7907245684203256,-1263.5022165593027,-6.907755278982137
15.627210246882829,2.8848766887062594,0,0.7299029570657979,-1262.2632939862426,-6.907755278982137
15.74082490521339,2.8848766887062594,0,0.7162738311738377,-1262.201322054135,-6.907755278982137
15.74082490521339,2.7796408018216,0,0.7162738311738377,-1261.3635275578742,-6.907755278982137
15.781384702794817,2.760622741371349,0,0.6785306552556492,-1262.0832582606095,-6.907755278982137
15.781384702794817,2.760622741371349,0,0.6891568111445523,-1261.6702666948274,-6.907755278982137
15.868538039379855,2.760622741371349,0,0.6891568111445523,-1261.4272183907428,-6.907755278982137
15.925141868855281,2.7933065637592307,0,0.7002398492432816,-1261.2556580195403,-6.907755278982137
15.847709012616736,2.7933065637592307,0,0.7408297724523084,-1261.5324924272675,-6.907755278982137
15.842268802326913,2.7152519537592346,0,0.7175356232855721,-1261.0639240537148,-6.907755278982137
15.786907569999144,2.6243926822628407,0,0.6608563276976359,-1262.2029941550222,-6.907755278982137
15.778752780921154,2.5645825620188196,0,0.6710656848723273,-1261.8368748904954,-6.907755278982137
15.80955993956345,2.5645825620188196,0,0.6710656848723273,-1261.7571106147639,-6.907755278982137
15.80955993956345,2.656935767711767,0,0.7016624640379763,-1261.0889808722543,-6.907755278982137
15.748762440895998,2.7483316164342257,0,0.6931967841596514,-1261.562746710113,-6.907755278982137
15.667188330606141,2.6272669208730686,0,0.7178377010626125,-1261.3923161461455,-6.907755278982137
15.60946582688156,2.6272669208730686,0,0.7133958170001848,-1261.4243798435393,-6.907755278982137
15.638833200397162,2.6351403855784437,0,0.7133958170001848,-1261.36492707706,-6.907755278982137
15.597770843538195,2.6351403855784437,0,0.7083823448311538,-1261.4257787679787,-6.907755278982137
15.654997855589109,2.6962082981553888,0,0.7477732706564071,-1261.7945338099826,-6.907755278982137
15.78297808756868,2.7175207563343804,0,0.7366308878265728,-1261.4235431478437,-6.907755278982137
15.75632396553998,2.7666458689278604,0,0.6868771391111761,-1261.8687290769124,-6.907755278982137
15.779035566933597,2.7568417787408714,0,0.6868771391111761,-1261.727931941022,-6.907755278982137
15.779035566933597,2.74237105095513,0,0.70962417397251,-1261.1878414724158,-6.907755278982137
15.777928609969841,2.742615629370589,0,0.6880038806481561,-1261.6026406174894,-6.907755278982137
15.75058303562057,2.8293518614504483,0,0.7232856972580882,-1261.60608037606,-6.907755278982137
15.872856493414844,2.7289634000693983,0,0.7232856972580882,-1261.1086124939502,-6.907755278982137
15.897720260817419,2.645851009160979,0,0.6936796640981358,-1261.0045507872112,-6.907755278982137
15.953311634654122,2.7195569934245865,0,0.7297187496302461,-1261.2191960492137,-6.907755278982137
16.02226405085386,2.6199051039778456,0,0.6821970522550284,-1260.939872057513,-6.907755278982137
16.00629522320182,2.7070646356216512,0,0.6821970522550284,-1261.007186624684,-6.907755278982137
15.990044431248265,2.715197087316648,0,0.7465391246221718,-1261.8637862081314,-6.907755278982137
15.894576437093583,2.6653865366219733,0,0.7221277354701758,-1261.1875497757558,-6.907755278982137
15.894726985454717,2.5400375984269496,0,0.7221277354701758,-1262.1188555000108,-6.907755278982137
15.894726985454717,2.559300816949863,0,0.7035513691615447,-1261.447200732096,-6.907755278982137
15.874523532460291,2.5187211331383366,0,0.6919547933879143,-1261.6785534573132,-6.907755278982137
15.780636397984276,2.6148086310225405,0,0.6919547933879143,-1261.2799867193053,-6.907755278982137
