color,size,condition,othercolor,item,utt,prob,zero
color,size,color32,othercolor,item,color,-0.05891414594938741,0
color,size,color32,othercolor,item,size,-13.845737303700549,0
color,size,color32,othercolor,item,size_color,-2.8610034645611186,0
color,size,size42,othercolor,item,othercolor,-29.05434271735004,0
color,size,size42,othercolor,item,othersize_othercolor,-27.99316726701474,0
color,size,size42,othercolor,item,othersize,-33.13084753478546,0
color,size,size42,othercolor,item,othersize_color,-23.622418314746056,0
color,size,size42,othercolor,item,color,-7.583497470262451,0
color,size,size42,othercolor,item,size,-0.8501474572354297,0
color,size,size42,othercolor,item,size_color,-0.5583727681234265,0
color,size,size33,othercolor,item,othersize,-30.50079959661977,0
color,size,size33,othercolor,item,othersize_color,-28.783712956170355,0
color,size,size33,othercolor,item,color,-14.049903569508011,0
color,size,size33,othercolor,item,size,-0.24560976630273496,0
color,size,size33,othercolor,item,size_color,-1.5243075898264422,0
color,size,size44,othercolor,item,othersize,-32.49909401236305,0
color,size,size44,othercolor,item,othersize_color,-30.711778064826866,0
color,size,size44,othercolor,item,color,-15.200959841855735,0
color,size,size44,othercolor,item,size,-0.21839393481301525,0
color,size,size44,othercolor,item,size_color,-1.6286665089344794,0
color,size,color22,othercolor,item,othercolor,-35.0267759644488,0
color,size,color22,othercolor,item,size_othercolor,-31.057493574721967,0
color,size,color22,othercolor,item,color,-0.06548508460966224,0
color,size,color22,othercolor,item,size,-15.39240916001625,0
color,size,color22,othercolor,item,size_color,-2.7585000074172115,0
color,size,size43,othercolor,item,othercolor,-22.695920990794,0
color,size,size43,othercolor,item,othersize_othercolor,-22.815136884948508,0
color,size,size43,othercolor,item,othersize,-32.728872093714564,0
color,size,size43,othercolor,item,othersize_color,-27.30512332406601,0
color,size,size43,othercolor,item,color,-11.561879924999793,0
color,size,size43,othercolor,item,size,-0.44817201616453406,0
color,size,size43,othercolor,item,size_color,-1.0183354011967936,0
color,size,color41,othercolor,item,othersize,-33.10135997302302,0
color,size,color41,othercolor,item,othersize_othercolor,-36.08622844497913,0
color,size,color41,othercolor,item,othercolor,-41.98029607680479,0
color,size,color41,othercolor,item,size_othercolor,-26.621702327541556,0
color,size,color41,othercolor,item,color,-0.07661762358895179,0
color,size,color41,othercolor,item,size,-8.828776592664717,0
color,size,color41,othercolor,item,size_color,-2.6089800586247094,0
color,size,size21,othercolor,item,othercolor,-24.09375152137543,0
color,size,size21,othercolor,item,othersize_othercolor,-23.17975909843983,0
color,size,size21,othercolor,item,othersize,-27.730144170376448,0
color,size,size21,othercolor,item,othersize_color,-19.375361483357054,0
color,size,size21,othercolor,item,color,-6.017322882204478,0
color,size,size21,othercolor,item,size,-0.8122552072737933,0
color,size,size21,othercolor,item,size_color,-0.5911180531282483,0
color,size,size41,othercolor,item,othercolor,-34.74039608847493,0
color,size,size41,othercolor,item,othersize_othercolor,-32.80540349284994,0
color,size,size41,othercolor,item,othersize,-33.76888639349291,0
color,size,size41,othercolor,item,othersize_color,-19.60127782200906,0
color,size,size41,othercolor,item,color,-3.1735218165524657,0
color,size,size41,othercolor,item,size,-1.4881863159428832,0
color,size,size41,othercolor,item,size_color,-0.31147996044011705,0
color,size,color43,othercolor,item,othersize,-24.63585893634786,0
color,size,color43,othercolor,item,othersize_othercolor,-28.30274508886192,0
color,size,color43,othercolor,item,othercolor,-41.94301238014669,0
color,size,color43,othercolor,item,size_othercolor,-34.264118787189666,0
color,size,color43,othercolor,item,color,-0.03933392693085127,0
color,size,color43,othercolor,item,size,-16.26573056481503,0
color,size,color43,othercolor,item,size_color,-3.255272588567145,0
color,size,color33,othercolor,item,othercolor,-39.308927852971564,0
color,size,color33,othercolor,item,size_othercolor,-35.051674602348115,0
color,size,color33,othercolor,item,color,-0.03965269470510436,0
color,size,color33,othercolor,item,size,-17.86156548816511,0
color,size,color33,othercolor,item,size_color,-3.247357655030175,0
color,size,color44,othercolor,item,othercolor,-41.93192810252103,0
