alpha,lengthCostWeight,freqCostWeight,typWeight,colorCost,typeCost,logLikelihood,outputProb
4.53472928647287,0,0,3.110442215397917,2.291452203595177,1.4273343362549835,-1471.368551824496,-9.210340371976182
4.500440894387137,0,0,3.1968213201377473,2.2769100230710224,1.3566528736358467,-1471.0904452279415,-9.210340371976182
4.683736887768534,0,0,3.168476538346915,2.217791755496303,1.4309771905828361,-1470.4093938484548,-9.210340371976182
4.483644824979184,0,0,3.0855574485274087,2.3202231671277036,1.3152982531641033,-1471.8823072643893,-9.210340371976182
4.477319836492796,0,0,3.0785701930293206,2.111291954265747,1.3176140551538873,-1471.9808707451905,-9.210340371976182
4.447267362834426,0,0,3.1672684903474853,2.0874150185570186,1.1413737022879737,-1471.6188574201096,-9.210340371976182
4.625341874660634,0,0,3.3378726572759074,2.1035367426434415,1.1570754512812875,-1470.03599090814,-9.210340371976182
4.618959638554265,0,0,3.286048152996264,2.1713832137514277,1.1000240008009838,-1470.1820132297707,-9.210340371976182
4.7815622856196525,0,0,3.2304776984667143,2.1713832137514277,1.2563658420668546,-1470.0326767050472,-9.210340371976182
4.824198699213829,0,0,3.155211669967464,2.1309408222677204,1.1754131954299192,-1470.2658050052628,-9.210340371976182
4.884916895363251,0,0,3.1071277531354244,2.2536632299735624,1.1852704078911875,-1470.4706636870358,-9.210340371976182
4.774802722984382,0,0,3.1071277531354244,2.211247873476759,1.402794263234457,-1470.5049499310119,-9.210340371976182
4.678769008693736,0,0,3.163570304709281,2.1514212242823834,1.221993162263485,-1470.4445671746382,-9.210340371976182
4.702935499212217,0,0,3.2135261404318283,2.2070119181487122,1.0686114695465554,-1470.1876174876147,-9.210340371976182
4.872806163083665,0,0,3.1933563674403826,2.0730931206489687,1.1165640090677482,-1470.1587342810785,-9.210340371976182
4.781326558454958,0,0,3.2445719125983463,2.0253003271693006,1.2902801413722098,-1469.9941445495324,-9.210340371976182
4.8675009050385665,0,0,3.256947309246426,1.8830036970627324,1.1725431618029143,-1469.9944456106343,-9.210340371976182
5.053872401840095,0,0,3.134102429950822,1.8714073030719496,1.3407449145415695,-1470.753215569537,-9.210340371976182
4.990758726087156,0,0,3.115421718167817,1.7961461023159635,1.4711554768842219,-1470.6130790411562,-9.210340371976182
4.9861997582034165,0,0,3.0476301661382497,1.8590474431937705,1.3262634601145815,-1470.865818069765,-9.210340371976182
4.971959366427483,0,0,3.1649381142424415,2.079534212340673,1.3975191260958835,-1470.4108417320554,-9.210340371976182
4.947332588542681,0,0,3.190337836772491,1.9162452358502917,1.5374836648561072,-1470.2838096170242,-9.210340371976182
5.119803437644537,0,0,3.268339960359771,2.1427804237989587,1.502670372716455,-1470.7956010984162,-9.210340371976182
5.221765096417702,0,0,3.370015612373363,2.0548676373518395,1.5688429530960755,-1471.3950032756143,-9.210340371976182
5.200416067638049,0,0,3.4896952460807507,2.065164254122915,1.5782010496034518,-1471.3580699114743,-9.210340371976182
5.3221196747822335,0,0,3.4293439925660474,2.015913519404166,1.7367920598399786,-1472.222139285921,-9.210340371976182
5.343819034454006,0,0,3.5055051881047734,2.1968256466848732,1.8073126109455135,-1472.5242105491425,-9.210340371976182
5.199554451051753,0,0,3.398051420806551,2.0039053079293447,1.7448812987614177,-1471.2546780357977,-9.210340371976182
5.287971809705324,0,0,3.497156784065337,2.195306497448375,1.6911429416537174,-1472.0324067510055,-9.210340371976182
5.412539130313246,0,0,3.371793918820125,2.269507479042154,1.7112913041286464,-1472.993304434285,-9.210340371976182
5.355724473856844,0,0,3.30010495586573,2.1893104691992082,1.782383775097469,-1472.4455285241738,-9.210340371976182
5.506238180759901,0,0,3.396422099147611,2.223178811348733,1.673533508146501,-1473.978113359212,-9.210340371976182
5.449358218106521,0,0,3.342647255634126,2.2317038603597634,1.613287907389565,-1473.3396510187868,-9.210340371976182
5.3862357498552775,0,0,3.274866182103821,2.118956063090529,1.6287196937992698,-1472.722345838129,-9.210340371976182
5.448976652843529,0,0,3.398923222352095,2.1820471090020037,1.5869970473968915,-1473.3775991259615,-9.210340371976182
5.339302360754737,0,0,3.398923222352095,2.1567665471939237,1.571067935758703,-1472.3407899512742,-9.210340371976182
5.202373156761658,0,0,3.4383024843594874,2.1733289720636693,1.451707593419449,-1471.3063604718984,-9.210340371976182
5.202373156761658,0,0,3.432598742458314,2.382996905447902,1.589128334822276,-1471.3007536902815,-9.210340371976182
5.186496954792688,0,0,3.3742030718491742,2.366770922872631,1.4893683915457867,-1471.1566120423956,-9.210340371976182
5.158732015418285,0,0,3.273695131274205,2.2777986045862515,1.6900905439865928,-1471.0079910791637,-9.210340371976182
5.168800553437064,0,0,3.252683399087279,2.1998400051478892,1.766655720394071,-1471.0869573317018,-9.210340371976182
5.220922991047862,0,0,3.4231052437894043,2.2465369401494333,1.7362019604231502,-1471.4221129485225,-9.210340371976182
5.254371396519803,0,0,3.292262443306134,2.246351349516655,1.8261951845284492,-1471.6299734083714,-9.210340371976182
5.21376774697074,0,0,3.2649701870351104,2.1917392985916972,1.895574975307834,-1471.3605177679353,-9.210340371976182
5.21376774697074,0,0,3.3883594339831267,2.1481883231249292,1.993411476015989,-1471.3470180200723,-9.210340371976182
5.046253187175797,0,0,3.51830513058001,2.1481883231249292,1.993411476015989,-1470.4967207280213,-9.210340371976182
5.0865776412540145,0,0,3.3502504594723606,2.232769575275327,1.9679972280410725,-1470.5765436733752,-9.210340371976182
5.042199100061947,0,0,3.421351408644664,2.15384278937002,1.8478753547336262,-1470.376805007758,-9.210340371976182
5.046927720649694,0,0,3.4179782588416217,1.9263720058556109,1.908919314191079,-1470.396631433084,-9.210340371976182
4.911601190425106,0,0,3.323153950158728,1.9003034308782456,1.8595086289838216,-1469.9637578980714,-9.210340371976182
4.781716462882576,0,0,3.2726038534745445,1.9273990039080715,1.797554073356713,-1469.925543147693,-9.210340371976182
4.884284425562536,0,0,3.147724997946987,1.9846805185336738,1.797554073356713,-1470.3159137964815,-9.210340371976182
4.859015012961596,0,0,3.0282663130940684,1.974981115852116,1.7517338765082928,-1470.84106802919,-9.210340371976182
5.003066195995565,0,0,3.091650819431202,1.8497577701028043,1.6658198095874877,-1470.729338733228,-9.210340371976182
4.973948719176576,0,0,3.0675692859490167,1.7498639296794651,1.5449229795598638,-1470.7552870715185,-9.210340371976182
4.90827477882202,0,0,3.1879726335762846,1.822504222766347,1.6185112205368006,-1470.2176177501758,-9.210340371976182
4.928758180275093,0,0,3.345008907833448,1.9532308535066762,1.6185112205368006,-1469.9842908974363,-9.210340371976182
4.8757209890323585,0,0,3.3880777898557897,1.764942579493351,1.7137469289893243,-1469.8483035930399,-9.210340371976182
4.915909549172794,0,0,3.4974597987228084,1.6426305549478317,1.7098500605697884,-1469.97872609889,-9.210340371976182
4.9915326298081215,0,0,3.284987682033055,1.574808119523218,1.6230664561793742,-1470.2251868866158,-9.210340371976182
5.106179069077539,0,0,3.3281934316743924,1.488796785264081,1.6274490647760385,-1470.683053526806,-9.210340371976182
5.1388615065937095,0,0,3.431679528750945,1.488796785264081,1.7456182819363175,-1470.8911605123653,-9.210340371976182
5.060721799859919,0,0,3.431679528750945,1.543162743131631,1.693179122952378,-1470.4692133072213,-9.210340371976182
5.138054327527811,0,0,3.3905500747070403,1.4504377402631898,1.8614669410300533,-1470.861356456354,-9.210340371976182
