modelVersion,costs,semantics,margLikelihood
typicality,empirical,empirical,-1435.3055683071248
typicality,none,fixedplusempirical,-1184.3597388020448
typicality,empirical,fixedplusempirical,-1199.2551315640715
typicality,empirical,empirical,-1357.8011828787164
typicality,none,empirical,-1336.5388062904435
typicality,none,empirical,-1335.0605384846515
typicality,none,empirical,-1371.362049658337
typicality,empirical,empirical,-1364.674248314611
typicality,fixed,fixedplusempirical,-1225.1048994148937
typicality,fixed,empirical,-1350.3683559111707
typicality,fixed,fixedplusempirical,-1300.365321349459
typicality,empirical,fixedplusempirical,-1295.1263045245264
typicality,empirical,fixedplusempirical,-1268.6935743769827
typicality,fixed,empirical,-1321.9408158862173
typicality,none,empirical,-1368.0460354931683
typicality,none,fixedplusempirical,-1199.2164315379039
typicality,none,fixedplusempirical,-1178.9093204494422
typicality,fixed,empirical,-1321.1871786106828
typicality,empirical,empirical,-1395.334411279964
typicality,fixed,fixedplusempirical,-1260.8451495764293
typicality,fixed,empirical,-1373.493416163999
typicality,empirical,fixedplusempirical,-1303.9855222803928
typicality,none,fixedplusempirical,-1190.800595648914
typicality,fixed,fixedplusempirical,-1189.8503794362844
typicality,empirical,fixedplusempirical,-1308.6493545838175
typicality,empirical,empirical,-1362.4470098027032
typicality,none,empirical,-1340.2079998831084
typicality,fixed,empirical,-1338.1280450082504
typicality,fixed,empirical,-1378.88474376647
typicality,none,fixedplusempirical,-1184.7517597907672
typicality,none,empirical,-1364.6169710971326
typicality,fixed,fixedplusempirical,-1274.8600808922104
typicality,none,empirical,-1352.3439895421975
typicality,none,fixedplusempirical,-1177.141191891399
typicality,empirical,empirical,-1361.7256711460288
typicality,empirical,fixedplusempirical,-1255.056190368043
typicality,fixed,fixedplusempirical,-1215.6955862387954
typicality,fixed,empirical,-1327.5277122475595
typicality,none,fixedplusempirical,-1199.7324511891406
typicality,none,empirical,-1335.5030335910808
typicality,none,fixedplusempirical,-1180.6915268463595
typicality,fixed,fixedplusempirical,-1259.2916076784752
typicality,fixed,fixedplusempirical,-1224.9945600678645
typicality,empirical,fixedplusempirical,-1284.7159654136688
typicality,fixed,empirical,-1342.6404401876582
typicality,empirical,empirical,-1376.363487544238
typicality,none,fixedplusempirical,-1191.4688655271145
typicality,none,empirical,-1377.3303679909575
typicality,empirical,fixedplusempirical,-1253.83635359164
typicality,empirical,empirical,-1347.8157628396716
typicality,fixed,fixedplusempirical,-1286.6188019109097
typicality,empirical,empirical,-1348.3308011134243
typicality,fixed,empirical,-1349.633955338605
typicality,none,fixedplusempirical,-1181.9206992474053
typicality,empirical,fixedplusempirical,-1302.300747956774
typicality,empirical,empirical,-1377.989678944475
typicality,empirical,fixedplusempirical,-1225.2211549917452
typicality,fixed,fixedplusempirical,-1278.79206991789
typicality,empirical,fixedplusempirical,-1257.5060694879487
typicality,fixed,empirical,-1355.4173443895213
typicality,empirical,empirical,-1433.6142091861664
typicality,none,empirical,-1343.3816392839929
typicality,none,fixedplusempirical,-1177.5689761394856
typicality,fixed,empirical,-1351.7919651755938
typicality,fixed,empirical,-1327.536134945194
typicality,fixed,fixedplusempirical,-1226.9123463667154
typicality,none,empirical,-1335.8339573207156
typicality,none,fixedplusempirical,-1187.4418495522277
typicality,empirical,empirical,-1394.1985373216557
typicality,empirical,empirical,-1475.200709745925
typicality,none,empirical,-1337.5849783616495
typicality,fixed,fixedplusempirical,-1339.5686350728054
typicality,empirical,fixedplusempirical,-1225.8306541008328
typicality,none,empirical,-1336.4793168391404
typicality,fixed,fixedplusempirical,-1211.0113520947305
typicality,none,fixedplusempirical,-1176.7175291018716
typicality,fixed,empirical,-1342.9046568238791
typicality,empirical,fixedplusempirical,-1240.2171273131128
typicality,empirical,fixedplusempirical,-1298.04913312622
typicality,none,fixedplusempirical,-1189.6300083308718
typicality,none,empirical,-1341.3896600172152
typicality,fixed,fixedplusempirical,-1207.6044388675894
typicality,fixed,empirical,-1333.784168239279
typicality,none,fixedplusempirical,-1178.3000297728336
typicality,empirical,empirical,-1392.1731570477991
typicality,none,empirical,-1367.9555399318417
typicality,fixed,empirical,-1327.5073314878584
typicality,empirical,empirical,-1355.6371341530728
typicality,empirical,fixedplusempirical,-1265.0898379570444
typicality,none,fixedplusempirical,-1176.711574311314
typicality,none,empirical,-1367.6178606936794
typicality,fixed,fixedplusempirical,-1242.146276182868
typicality,fixed,empirical,-1424.0034342409335
typicality,fixed,fixedplusempirical,-1205.8882597338795
typicality,empirical,fixedplusempirical,-1267.5535800829707
typicality,none,fixedplusempirical,-1190.5724088416791
typicality,empirical,empirical,-1386.7439418965537
typicality,fixed,fixedplusempirical,-1282.011579050466
typicality,none,empirical,-1411.6368062315873
typicality,fixed,empirical,-1351.0368838579243
typicality,empirical,fixedplusempirical,-1331.6779158996349
typicality,none,empirical,-1341.5516443090007
typicality,empirical,empirical,-1414.2308359377944
typicality,none,fixedplusempirical,-1178.8759295245043
typicality,fixed,empirical,-1339.2843988273232
