modelVersion,costs,semantics,margLikelihood
typicality,none,fixedplusempirical,-1180.8831933413733
typicality,none,empirical,-1349.936046940838
typicality,fixed,fixedplusempirical,-1211.0174199955572
typicality,fixed,empirical,-1384.0058282940822
typicality,none,fixedplusempirical,-1183.2508358504112
typicality,fixed,fixedplusempirical,-1262.5961975317884
typicality,none,empirical,-1349.3192433315164
typicality,fixed,empirical,-1362.2834755404276
typicality,none,fixedplusempirical,-1210.7715325531474
typicality,fixed,fixedplusempirical,-1288.9174914313937
typicality,none,empirical,-1367.6028706018926
typicality,fixed,empirical,-1313.455266621484
typicality,none,fixedplusempirical,-1178.383278505584
typicality,fixed,fixedplusempirical,-1249.7537535459423
