noun,alt1,length1,counts1,alt2,length2,counts2,alt3,length3,counts3,alt4,length4,counts4,alt5,length5,counts5,alt6,length6,counts6,alt7,length7,counts7,alt8,length8,counts8,alt9,length9,counts9,,average_length,std_length,average_length_ExcelFunction,std_length_ExcelFunction
pigeon,pigeon,6,22,pidgeon,7,4,dove,4,4,,,,,,,,,,,,,,,,,,,,5.87,0.22,5.8666666667,0.218404716
plant,plant,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,,
polarBear,Polar bear,10,23,polar,5,7,,,,,,,,,,,,,,,,,,,,,,,8.83,0.35,8.8333333333,0.3455107442
poloShirt,Polo shirt,10,4,polo,4,5,t shirt,7,1,,,,,,,,,,,,,,,,,,,,6.7,0.79,6.7,0.7855137597
pug,pug,3,22,wolf,4,1,,,,,,,,,,,,,,,,,,,,,,,3.04,0.08,3.0434782609,0.0833860456
rose,rose,4,42,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,4,0
shirt,shirt,5,151,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,0
skittles,skittles,8,32,M & m's,7,3,m&ms,4,2,m&m,3,3,mm,2,2,s,1,1,M & ms,6,1,skittle,7,1,,,,,6.87,0.43,6.9333333333,0.4283998155
snack,snack,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,,
sportsCar,Sports car,10,9,Sport car,9,2,,,,,,,,,,,,,,,,,,,,,,,9.82,0.23,9.8181818182,0.2321288231
sunflower,sunflower,9,17,sunflowe,8,1,dandelion,9,1,,,,,,,,,,,,,,,,,,,,8.95,0.11,8.9473684211,0.1115916146
suv,suv,3,28,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0
swordFish,swordfish,9,19,marlin,6,3,sword fish,10,3,shark,5,6,,,,,,,,,,,,,,,,,8.03,0.43,8.0322580645,0.4340535613
tShirt,T-Shirt,7,9,tshirt,6,1,t,1,1,,,,,,,,,,,,,,,,,,,,6.36,0.48,6.3636363636,0.4831970346
table,table,5,112,desk,4,1,,,,,,,,,,,,,,,,,,,,,,,4.99,0.02,4.9911504425,0.0181706899
tulip,tulip,5,12,rose,4,19,,,,,,,,,,,,,,,,,,,,,,,4.39,0.18,4.3870967742,0.1750864958
vehicle,vehicle,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,7,0,7,0
