noun,SUM_match_frequency,relFreq,total_counts
animal,39951249,0.000117655,3.40E+11
bear,6447057,1.90E-05,3.40E+11
bedsideTable,142988,4.21E-07,3.40E+11
bird,20470955,6.03E-05,3.40E+11
blackBear,190399,5.61E-07,3.40E+11
candy,2151372,6.34E-06,3.40E+11
car,38511187,0.000113414,3.40E+11
catfish,355178,1.05E-06,3.40E+11
clothing,7987510,2.35E-05,3.40E+11
clownFish,10093,2.97E-08,3.40E+11
coffeeTable,361306,1.06E-06,3.40E+11
convertible,123602,3.64E-07,3.40E+11
daisy,1142904,3.37E-06,3.40E+11
dalmatian,49602,1.46E-07,3.40E+11
diningTable,183217,5.40E-07,3.40E+11
dog,21789518,6.42E-05,3.40E+11
dressShirt,55990,1.65E-07,3.40E+11
eagle,3549006,1.05E-05,3.40E+11
fish,19806893,5.83E-05,3.40E+11
flower,16497919,4.86E-05,3.40E+11
furniture,6098822,1.80E-05,3.40E+11
germanShepherd,97790,2.88E-07,3.40E+11
goldFish,50729,1.49E-07,3.40E+11
grizzlyBear,168892,4.97E-07,3.40E+11
gummyBears,4333,1.28E-08,3.40E+11
hawaiiShirt,101,2.97E-10,3.40E+11
hummingBird,286394,8.43E-07,3.40E+11
husky,76741,2.26E-07,3.40E+11
jellyBeans,57151,1.68E-07,3.40E+11
mnMs,54,1.59E-10,3.40E+11
minivan,89418,2.63E-07,3.40E+11
pandaBear,6344,1.87E-08,3.40E+11
parrot,900200,2.65E-06,3.40E+11
picnicTable,176368,5.19E-07,3.40E+11
pigeon,1705901,5.02E-06,3.40E+11
plant,52852109,0.000155648,3.40E+11
polarBear,230799,6.80E-07,3.40E+11
poloShirt,55324,1.63E-07,3.40E+11
pug,121280,3.57E-07,3.40E+11
rose,8595412,2.53E-05,3.40E+11
shirt,7341359,2.16E-05,3.40E+11
skittles,31032,9.14E-08,3.40E+11
snack,1505074,4.43E-06,3.40E+11
sportsCar,240933,7.10E-07,3.40E+11
sunflower,583171,1.72E-06,3.40E+11
suv,193945,5.71E-07,3.40E+11
swordFish,197948,5.83E-07,3.40E+11
tShirt,35541,1.05E-07,3.40E+11
table,105187425,0.000309774,3.40E+11
tulip,385498,1.14E-06,3.40E+11
vehicle,15734124,4.63E-05,3.40E+11
