target,distractor
apple_blue,banana_blue
apple_green,tomato_green
apple_red,tomato_red
avocado_black,pepper_black
avocado_green,pepper_green
avocado_red,apple_red
banana_blue,apple_blue
banana_brown,carrot_brown
banana_yellow,pear_yellow
carrot_brown,banana_brown
carrot_orange,pepper_orange
carrot_purple,tomato_purple
pear_green,apple_green
pear_orange,carrot_orange
pear_yellow,banana_yellow
pepper_black,avocado_black
pepper_green,avocado_green
pepper_orange,pear_orange
pepper_red,tomato_red
tomato_green,pear_green
tomato_purple,carrot_purple
tomato_red,pepper_red
