gameid,time,roundNum,trialType,condition,nameClickedObj,targetStatusClickedObj,spLocsClickedObj,lisLocsClickedObj,basiclevelClickedObj,superdomainClickedObj,alt1Name,alt1TargetStatus,alt1SpLocs,alt1LisLocs,alt1Basiclevel,alt1superdomain,alt2Name,alt2TargetStatus,alt2SpLocs,alt2LisLocs,alt2Basiclevel,alt2superdomain,alt3Name,alt3TargetStatus,alt3SpLocs,alt3LisLocs,alt3Basiclevel,alt3superdomain,alt4Name,alt4TargetStatus,alt4SpLocs,alt4LisLocs,alt4Basiclevel,alt4superdomain,numMessages,numSMessages,numLMessages,speakerMessages,listenerMessages,messageTimeStamps,refExp,clickedType,clickedSize,clickedColor,colorMentioned,sizeMentioned,metaColorMentioned,metaSizeMentioned,typeMentioned,automaticallyLabelledTrials,manuallyAddedTrials,oddOneMentions,otherFeatureMentioned,oneMentioned,theMentioned,fullSentence,noColorSizeMentioned
2298-c,1455300891594,1,colorSizeTrial,color42,small_brown_belt,target,5,3,NA,NA,small_black_belt,distractor,3,4,NA,NA,big_black_belt,distractor,4,5,NA,NA,big_black_belt,distractor,2,2,NA,NA,small_black_belt,distractor,1,1,NA,NA,1,1,0,Brown belt,,1455300882932,Brown belt,belt,small,brown,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2298-c,1455300912188,3,colorSizeTrial,color31,big_red_flower,target,3,4,NA,NA,small_purple_flower,distractor,4,1,NA,NA,big_purple_flower,distractor,1,2,NA,NA,small_purple_flower,distractor,2,3,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined,1,1,0,Red flower,,1455300910989,Red flower,flower,big,red,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2298-c,1455300937950,4,colorSizeTrial,size32,small_red_yarn,target,2,3,NA,NA,big_red_yarn,distractor,1,4,NA,NA,big_red_yarn,distractor,4,2,NA,NA,big_purple_yarn,distractor,3,1,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined,3,2,1,Red yarn left to the purple yarn___Or smallest red yarn,different order here,1455300922594___1455300935153___1455300936091,Red yarn left to the purple yarn,yarn,small,red,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
2298-c,1455300943430,5,colorSizeTrial,color21,small_black_turtle,target,2,2,NA,NA,small_brown_turtle,distractor,4,3,NA,NA,big_brown_turtle,distractor,3,4,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,1,1,0,Black turtle,,1455300941811,Black turtle,turtle,small,black,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2298-c,1455300950143,6,colorSizeTrial,size22,small_blue_butterfly,target,4,2,NA,NA,big_blue_butterfly,distractor,3,4,NA,NA,big_blue_butterfly,distractor,2,3,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,1,1,0,Smallest butterfly,,1455300948892,Smallest butterfly,butterfly,small,blue,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2298-c,1455300954500,7,colorSizeTrial,color32,big_blue_tack,target,4,1,NA,NA,small_red_tack,distractor,1,3,NA,NA,big_red_tack,distractor,3,4,NA,NA,big_red_tack,distractor,2,2,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined,1,1,0,Blue,,1455300953437,Blue,tack,big,blue,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2298-c,1455300960417,8,colorSizeTrial,size42,big_purple_billiardball,target,5,5,NA,NA,small_purple_billiardball,distractor,2,2,NA,NA,small_purple_billiardball,distractor,4,3,NA,NA,small_orange_billiardball,distractor,1,1,NA,NA,small_orange_billiardball,distractor,3,4,NA,NA,1,1,0,Biggest purple,,1455300959207,Biggest purple,billiardball,big,purple,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2298-c,1455300971003,10,colorSizeTrial,size33,big_green_jacket,target,3,1,NA,NA,small_green_jacket,distractor,2,2,NA,NA,small_green_jacket,distractor,4,4,NA,NA,small_green_jacket,distractor,1,3,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined,1,1,0,Biggest,,1455300969844,Biggest,jacket,big,green,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2298-c,1455300975213,11,colorSizeTrial,size44,small_purple_coathanger,target,4,1,NA,NA,big_purple_coathanger,distractor,2,3,NA,NA,big_purple_coathanger,distractor,3,4,NA,NA,big_purple_coathanger,distractor,5,5,NA,NA,big_purple_coathanger,distractor,1,2,NA,NA,1,1,0,Smallest,,1455300974581,Smallest,coathanger,small,purple,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2298-c,1455300979250,12,colorSizeTrial,size22,big_red_candle,target,4,4,NA,NA,small_red_candle,distractor,3,2,NA,NA,small_red_candle,distractor,2,3,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,1,1,0,Biggest,,1455300978542,Biggest,candle,big,red,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
