gameid	time	roundNum	trialType	condition	nameClickedObj	targetStatusClickedObj	spLocsClickedObj	lisLocsClickedObj	basiclevelClickedObj	superdomainClickedObj	alt1Name	alt1TargetStatus	alt1SpLocs	alt1LisLocs	alt1Basiclevel	alt1superdomain	alt2Name	alt2TargetStatus	alt2SpLocs	alt2LisLocs	alt2Basiclevel	alt2superdomain	alt3Name	alt3TargetStatus	alt3SpLocs	alt3LisLocs	alt3Basiclevel	alt3superdomain	alt4Name	alt4TargetStatus	alt4SpLocs	alt4LisLocs	alt4Basiclevel	alt4superdomain	numMessages	numSMessages	numLMessages	speakerMessages	listenerMessages	messageTimeStamps	refExp	sizeMentioned	colorMentioned	typeMentioned	clickedType	clickedSize	clickedColor	sub	basic	super	oneMentioned	theMentioned
4242-5	1455301115011	3	subSuperTrial	basic33	parrot	target	4	3	bird	animal	firetruck	distractor	2	2	NA	vehicle	pottedPlant	distractor	3	4	NA	plant	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	1	1	0	its the bird		1455301113482	its the bird	False	False	False	parrot	NA	NA	FALSE	TRUE	FALSE	FALSE	TRUE
4242-5	1455301122886	4	subSuperTrial	basic22	convertible	target	4	3	car	vehicle	train	distractor	2	4	NA	vehicle	motorcycle	distractor	3	2	NA	vehicle	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	1	1	0	it is the car		1455301121167	it is the car	False	False	False	convertible	NA	NA	FALSE	TRUE	FALSE	FALSE	TRUE
4242-5	1455301133939	5	subSuperTrial	basic23	skittles	target	4	4	candy	snack	crocodile	distractor	2	3	NA	animal	popcorn	distractor	3	2	NA	snack	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	1	1	0	the candy		1455301132187	the candy	False	False	False	skittles	NA	NA	FALSE	TRUE	FALSE	FALSE	TRUE
4242-5	1455301159558	7	subSuperTrial	basic12	dressShirt	target	4	2	shirt	clothing	campShirt	distractor	2	3	shirt	clothing	socks	distractor	3	4	NA	clothing	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	1	1	0	the blue shirt with long sleeves		1455301156492	the blue shirt with long sleeves	False	False	False	dressShirt	NA	NA	FALSE	TRUE	FALSE	FALSE	TRUE
4242-5	1455301167564	8	subSuperTrial	basic12	daisy	target	4	4	flower	plant	grasses	distractor	2	2	NA	plant	lily	distractor	3	3	flower	plant	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	1	1	0	the daisy		1455301165774	the daisy	False	False	True	daisy	NA	NA	TRUE	FALSE	FALSE	FALSE	TRUE
4242-5	1455301192134	11	subSuperTrial	basic33	swordFish	target	2	3	fish	animal	grasses	distractor	4	2	NA	plant	dress	distractor	3	4	NA	clothing	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	1	1	0	the shark		1455301190523	the shark	False	False	False	swordFish	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE
4242-5	1455301207642	13	subSuperTrial	basic23	tShirt	target	4	4	shirt	clothing	dress	distractor	2	3	NA	clothing	horse	distractor	3	2	NA	animal	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	1	1	0	the blue shirt		1455301205859	the blue shirt	False	False	False	tShirt	NA	NA	FALSE	TRUE	FALSE	FALSE	TRUE
4242-5	1455301216799	14	subSuperTrial	basic23	tulip	target	3	3	flower	plant	rosemary	distractor	2	2	NA	plant	rhino	distractor	4	4	NA	animal	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	1	1	0	the red flower		1455301214071	the red flower	False	False	False	tulip	NA	NA	FALSE	TRUE	FALSE	FALSE	TRUE
4242-5	1455301237337	16	subSuperTrial	basic23	pandaBear	target	2	3	bear	animal	squirrel	distractor	4	2	NA	animal	ambulance	distractor	3	4	NA	vehicle	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	1	1	0	the panda bear		1455301234600	the panda bear	False	False	False	pandaBear	NA	NA	TRUE	TRUE	FALSE	FALSE	TRUE
4242-5	1455301277304	20	subSuperTrial	basic23	polarBear	target	4	2	bear	animal	socks	distractor	3	3	NA	clothing	rabbit	distractor	2	4	NA	animal	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	1	1	0	the big bear		1455301275539	the big bear	False	False	False	polarBear	NA	NA	FALSE	TRUE	FALSE	FALSE	TRUE
4242-5	1455301284820	21	subSuperTrial	basic12	sportsCar	target	4	2	car	vehicle	firetruck	distractor	2	4	NA	vehicle	sedan	distractor	3	3	car	vehicle	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	1	1	0	the gray car		1455301283405	the gray car	False	False	False	sportsCar	NA	NA	FALSE	TRUE	FALSE	FALSE	TRUE
4242-5	1455301338699	24	subSuperTrial	basic23	coffeeTable	target	2	3	table	furniture	wardrobe	distractor	4	4	NA	furniture	sheep	distractor	3	2	NA	animal	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	1	1	0	the wooden table		1455301336404	the wooden table	False	False	False	coffeeTable	NA	NA	FALSE	TRUE	FALSE	FALSE	TRUE
4242-5	1455301352924	26	subSuperTrial	basic22	germanShepherd	target	4	2	dog	animal	crocodile	distractor	3	3	NA	animal	pig	distractor	2	4	NA	animal	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	1	1	0	the dog		1455301350809	the dog	False	False	False	germanShepherd	NA	NA	FALSE	TRUE	FALSE	FALSE	TRUE
4242-5	1455301389514	30	subSuperTrial	basic33	hummingBird	target	3	3	bird	animal	wardrobe	distractor	4	4	NA	furniture	cookies	distractor	2	2	NA	snack	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	1	1	0	the bird		1455301387737	the bird	False	False	False	hummingBird	NA	NA	FALSE	TRUE	FALSE	FALSE	TRUE
4242-5	1455301423964	34	subSuperTrial	basic12	goldFish	target	3	2	fish	animal	discusFish	distractor	2	4	fish	animal	squirrel	distractor	4	3	NA	animal	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	1	1	0	the goldfish		1455301422186	the goldfish	False	False	False	goldFish	NA	NA	TRUE	TRUE	FALSE	FALSE	TRUE
4242-5	1455301437454	36	subSuperTrial	basic22	catfish	target	2	2	fish	animal	rhino	distractor	3	4	NA	animal	crocodile	distractor	4	3	NA	animal	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	1	1	0	the catfish		1455301436549	the catfish	False	False	True	catfish	NA	NA	TRUE	TRUE	FALSE	FALSE	TRUE
4242-5	1455301444506	37	subSuperTrial	basic22	diningTable	target	2	4	table	furniture	lamp	distractor	3	2	NA	furniture	bed	distractor	4	3	NA	furniture	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	1	1	0	the table		1455301442694	the table	False	False	False	diningTable	NA	NA	FALSE	TRUE	FALSE	FALSE	TRUE
4242-5	1455301462132	39	subSuperTrial	basic22	husky	target	3	3	dog	animal	squirrel	distractor	2	2	NA	animal	cow	distractor	4	4	NA	animal	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	1	1	0	the dog		1455301460985	the dog	False	False	False	husky	NA	NA	FALSE	TRUE	FALSE	FALSE	TRUE
4242-5	1455301468505	40	subSuperTrial	basic22	clownFish	target	2	4	fish	animal	iguana	distractor	3	3	NA	animal	crocodile	distractor	4	2	NA	animal	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	1	1	0	the fish		1455301466492	the fish	False	False	False	clownFish	NA	NA	FALSE	TRUE	FALSE	FALSE	TRUE
4242-5	1455301482587	42	subSuperTrial	basic33	minivan	target	3	3	car	vehicle	elephant	distractor	4	4	NA	animal	pretzels	distractor	2	2	NA	snack	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	1	1	0	the car		1455301481264	the car	False	False	False	minivan	NA	NA	FALSE	TRUE	FALSE	FALSE	TRUE
4242-5	1455301499323	44	subSuperTrial	basic22	hawaiiShirt	target	4	3	shirt	clothing	bathrobe	distractor	2	4	NA	clothing	socks	distractor	3	2	NA	clothing	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	1	1	0	the blue shirt		1455301498105	the blue shirt	False	False	False	hawaiiShirt	NA	NA	FALSE	TRUE	FALSE	FALSE	TRUE
4242-5	1455301538787	47	subSuperTrial	basic12	grizzlyBear	target	2	2	bear	animal	pig	distractor	4	3	NA	animal	koalaBear	distractor	3	4	bear	animal	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	1	1	0	the bear		1455301536601	the bear	False	False	False	grizzlyBear	NA	NA	FALSE	TRUE	FALSE	FALSE	TRUE
4242-5	1455301554619	49	subSuperTrial	basic22	pigeon	target	4	3	bird	animal	pig	distractor	2	2	NA	animal	elephant	distractor	3	4	NA	animal	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	1	1	0	the bird		1455301552749	the bird	False	False	False	pigeon	NA	NA	FALSE	TRUE	FALSE	FALSE	TRUE
4242-5	1455301573032	51	subSuperTrial	basic33	jellyBeans	target	4	3	candy	snack	pottedPlant	distractor	3	2	NA	plant	snake	distractor	2	4	NA	animal	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	1	1	0	the candy		1455301571345	the candy	False	False	False	jellyBeans	NA	NA	FALSE	TRUE	FALSE	FALSE	TRUE
4242-5	1455301594966	53	subSuperTrial	basic33	blackBear	target	3	4	bear	animal	bookcase	distractor	4	2	NA	furniture	train	distractor	2	3	NA	vehicle	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	1	1	0	the bear		1455301593169	the bear	False	False	False	blackBear	NA	NA	FALSE	TRUE	FALSE	FALSE	TRUE
4242-5	1455301655922	57	subSuperTrial	basic12	rose	target	2	4	flower	plant	lily	distractor	4	2	flower	plant	pottedPlant	distractor	3	3	NA	plant	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	1	1	0	the red rose		1455301654505	the red rose	False	False	True	rose	NA	NA	TRUE	FALSE	FALSE	FALSE	TRUE
4242-5	1455301677779	58	subSuperTrial	basic33	bedsideTable	target	2	3	table	furniture	ivy	distractor	3	4	NA	plant	bison	distractor	4	2	NA	animal	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	1	1	0	the cabinet		1455301675930	the cabinet	False	False	False	bedsideTable	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE
4242-5	1455301683728	59	subSuperTrial	basic33	mnMs	target	3	3	candy	snack	grasses	distractor	4	2	NA	plant	horse	distractor	2	4	NA	animal	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	1	1	0	the candy		1455301682479	the candy	False	False	False	mnMs	NA	NA	FALSE	TRUE	FALSE	FALSE	TRUE
4242-5	1455301688357	60	subSuperTrial	basic23	pug	target	3	4	dog	animal	socks	distractor	4	2	NA	clothing	hamster	distractor	2	3	NA	animal	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	1	1	0	the dog		1455301687020	the dog	False	False	False	pug	NA	NA	FALSE	TRUE	FALSE	FALSE	TRUE
4242-5	1455301705550	62	subSuperTrial	basic12	eagle	target	4	4	bird	animal	lion	distractor	3	2	NA	animal	sparrow	distractor	2	3	bird	animal	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	1	1	0	the eagle		1455301704039	the eagle	False	False	True	eagle	NA	NA	TRUE	FALSE	FALSE	FALSE	TRUE
4242-5	1455301736126	65	subSuperTrial	basic33	picnicTable	target	4	4	table	furniture	ivy	distractor	2	2	NA	plant	squirrel	distractor	3	3	NA	animal	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	1	1	0	the table		1455301733761	the table	False	False	False	picnicTable	NA	NA	FALSE	TRUE	FALSE	FALSE	TRUE
4242-5	1455301740902	66	subSuperTrial	basic22	dalmatian	target	4	3	dog	animal	kitten	distractor	3	4	NA	animal	snake	distractor	2	2	NA	animal	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	1	1	0	the dog		1455301739975	the dog	False	False	False	dalmatian	NA	NA	FALSE	TRUE	FALSE	FALSE	TRUE
4242-5	1455301746775	67	subSuperTrial	basic12	sunflower	target	3	3	flower	plant	lily	distractor	2	2	flower	plant	rosemary	distractor	4	4	NA	plant	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	1	1	0	the yellow flower		1455301745605	the yellow flower	False	False	False	sunflower	NA	NA	FALSE	TRUE	FALSE	FALSE	TRUE
4242-5	1455301750918	68	subSuperTrial	basic23	gummyBears	target	3	3	candy	snack	grasses	distractor	2	4	NA	plant	cookies	distractor	4	2	NA	snack	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	1	1	0	the candy		1455301750110	the candy	False	False	False	gummyBears	NA	NA	FALSE	TRUE	FALSE	FALSE	TRUE
4242-5	1455301771929	70	subSuperTrial	basic12	suv	target	2	2	car	vehicle	sedan	distractor	3	4	car	vehicle	train	distractor	4	3	NA	vehicle	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	1	1	0	the silver car		1455301769326	the silver car	False	False	False	suv	NA	NA	FALSE	TRUE	FALSE	FALSE	TRUE
4242-5	1455301777735	71	subSuperTrial	basic23	poloShirt	target	4	2	shirt	clothing	bathrobe	distractor	3	3	NA	clothing	chips	distractor	2	4	NA	snack	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	1	1	0	the blue shirt		1455301776730	the blue shirt	False	False	False	poloShirt	NA	NA	FALSE	TRUE	FALSE	FALSE	TRUE
5664-b	1455301073842	5	subSuperTrial	basic23	clownFish	target	4	4	fish	animal	gloves	distractor	3	3	NA	clothing	crocodile	distractor	2	2	NA	animal	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	1	1	0	fish		1455301071777	fish	False	False	False	clownFish	NA	NA	FALSE	TRUE	FALSE	FALSE	FALSE
5664-b	1455301079283	6	subSuperTrial	basic22	tShirt	target	4	4	shirt	clothing	socks	distractor	3	2	NA	clothing	bathrobe	distractor	2	3	NA	clothing	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	1	1	0	shirt		1455301077311	shirt	False	False	False	tShirt	NA	NA	FALSE	TRUE	FALSE	FALSE	FALSE
5664-b	1455301088307	7	subSuperTrial	basic12	blackBear	target	3	3	bear	animal	koalaBear	distractor	2	4	bear	animal	lobster	distractor	4	2	NA	animal	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	1	1	0	black bear		1455301086625	black bear	False	False	False	blackBear	NA	NA	TRUE	TRUE	FALSE	FALSE	FALSE
5664-b	1455301093650	8	subSuperTrial	basic22	diningTable	target	3	4	table	furniture	lamp	distractor	2	3	NA	furniture	bookcase	distractor	4	2	NA	furniture	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	1	1	0	table		1455301092107	table	False	False	False	diningTable	NA	NA	FALSE	TRUE	FALSE	FALSE	FALSE
5664-b	1455301100886	9	subSuperTrial	basic12	suv	target	2	3	car	vehicle	sedan	distractor	3	2	car	vehicle	train	distractor	4	4	NA	vehicle	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	1	1	0	white car		1455301099223	white car	False	False	False	suv	NA	NA	FALSE	TRUE	FALSE	FALSE	FALSE
5664-b	1455301106353	10	subSuperTrial	basic33	hawaiiShirt	target	2	2	shirt	clothing	bed	distractor	3	3	NA	furniture	chips	distractor	4	4	NA	snack	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	1	1	0	shirt		1455301104798	shirt	False	False	False	hawaiiShirt	NA	NA	FALSE	TRUE	FALSE	FALSE	FALSE
5664-b	1455301111422	11	subSuperTrial	basic22	grizzlyBear	target	4	2	bear	animal	elephant	distractor	3	3	NA	animal	kitten	distractor	2	4	NA	animal	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	1	1	0	bear		1455301109904	bear	False	False	False	grizzlyBear	NA	NA	FALSE	TRUE	FALSE	FALSE	FALSE
5664-b	1455301143572	15	subSuperTrial	basic22	germanShepherd	target	3	4	dog	animal	sheep	distractor	2	3	NA	animal	iguana	distractor	4	2	NA	animal	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	1	1	0	dog		1455301141534	dog	False	False	False	germanShepherd	NA	NA	FALSE	TRUE	FALSE	FALSE	FALSE
5664-b	1455301164248	18	subSuperTrial	basic23	convertible	target	2	4	car	vehicle	train	distractor	3	2	NA	vehicle	bison	distractor	4	3	NA	animal	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	1	1	0	car		1455301162725	car	False	False	False	convertible	NA	NA	FALSE	TRUE	FALSE	FALSE	FALSE
5664-b	1455301177186	20	subSuperTrial	basic22	skittles	target	2	4	candy	snack	cookies	distractor	3	3	NA	snack	pretzels	distractor	4	2	NA	snack	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	1	1	0	skittles		1455301175965	skittles	False	False	True	skittles	NA	NA	TRUE	FALSE	FALSE	FALSE	FALSE
5664-b	1455301186515	22	subSuperTrial	basic23	rose	target	3	4	flower	plant	rosemary	distractor	4	3	NA	plant	bison	distractor	2	2	NA	animal	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	1	1	0	rose		1455301185200	rose	False	False	True	rose	NA	NA	TRUE	FALSE	FALSE	FALSE	FALSE
5664-b	1455301194025	23	subSuperTrial	basic12	mnMs	target	4	3	candy	snack	candyCorn	distractor	2	4	candy	snack	pretzels	distractor	3	2	NA	snack	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	1	1	0	m and ms		1455301192485	m and ms	False	False	False	mnMs	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
5664-b	1455301204205	24	subSuperTrial	basic12	pug	target	3	2	dog	animal	greyhound	distractor	4	4	dog	animal	kitten	distractor	2	3	NA	animal	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	1	1	0	small dog		1455301202026	small dog	False	False	False	pug	NA	NA	FALSE	TRUE	FALSE	FALSE	FALSE
5664-b	1455301241470	30	subSuperTrial	basic33	bedsideTable	target	2	2	table	furniture	lion	distractor	3	3	NA	animal	grasses	distractor	4	4	NA	plant	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	1	1	0	drawers		1455301239938	drawers	False	False	False	bedsideTable	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
5664-b	1455301250309	31	subSuperTrial	basic12	swordFish	target	2	3	fish	animal	pig	distractor	3	4	NA	animal	discusFish	distractor	4	2	fish	animal	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	1	1	0	swordfish		1455301249040	swordfish	False	False	False	swordFish	NA	NA	TRUE	TRUE	FALSE	FALSE	FALSE
5664-b	1455301256691	32	subSuperTrial	basic33	gummyBears	target	4	2	candy	snack	motorcycle	distractor	3	3	NA	vehicle	squirrel	distractor	2	4	NA	animal	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	1	1	0	candy		1455301255121	candy	False	False	False	gummyBears	NA	NA	FALSE	TRUE	FALSE	FALSE	FALSE
5664-b	1455301272855	35	subSuperTrial	basic33	sportsCar	target	3	3	car	vehicle	lobster	distractor	2	2	NA	animal	rosemary	distractor	4	4	NA	plant	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	1	1	0	car		1455301271234	car	False	False	False	sportsCar	NA	NA	FALSE	TRUE	FALSE	FALSE	FALSE
5664-b	1455301290776	38	subSuperTrial	basic23	sunflower	target	3	2	flower	plant	pottedPlant	distractor	2	3	NA	plant	iguana	distractor	4	4	NA	animal	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	1	1	0	flower		1455301289262	flower	False	False	False	sunflower	NA	NA	FALSE	TRUE	FALSE	FALSE	FALSE
5664-b	1455301295281	39	subSuperTrial	basic22	parrot	target	4	4	bird	animal	lion	distractor	2	3	NA	animal	horse	distractor	3	2	NA	animal	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	1	1	0	bird		1455301294017	bird	False	False	False	parrot	NA	NA	FALSE	TRUE	FALSE	FALSE	FALSE
5664-b	1455301310233	40	subSuperTrial	basic12	poloShirt	target	3	2	shirt	clothing	campShirt	distractor	2	4	shirt	clothing	dress	distractor	4	3	NA	clothing	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	1	1	0	blue shirt with fewer buttons		1455301307112	blue shirt with fewer buttons	False	False	False	poloShirt	NA	NA	FALSE	TRUE	FALSE	FALSE	FALSE
5664-b	1455301315673	41	subSuperTrial	basic33	dressShirt	target	3	3	shirt	clothing	chips	distractor	2	2	NA	snack	crocodile	distractor	4	4	NA	animal	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	1	1	0	blue shirt		1455301314176	blue shirt	False	False	False	dressShirt	NA	NA	FALSE	TRUE	FALSE	FALSE	FALSE
5664-b	1455301322367	42	subSuperTrial	basic23	coffeeTable	target	3	3	table	furniture	gloves	distractor	4	4	NA	clothing	wardrobe	distractor	2	2	NA	furniture	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	1	1	0	table		1455301320862	table	False	False	False	coffeeTable	NA	NA	FALSE	TRUE	FALSE	FALSE	FALSE
5664-b	1455301337530	44	subSuperTrial	basic12	polarBear	target	4	4	bear	animal	elephant	distractor	2	3	NA	animal	koalaBear	distractor	3	2	bear	animal	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	1	1	0	polar bear		1455301335949	polar bear	False	False	False	polarBear	NA	NA	TRUE	TRUE	FALSE	FALSE	FALSE
5664-b	1455301342551	45	subSuperTrial	basic23	pigeon	target	3	4	bird	animal	horse	distractor	4	3	NA	animal	dress	distractor	2	2	NA	clothing	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	1	1	0	pigeon		1455301341190	pigeon	False	False	True	pigeon	NA	NA	TRUE	FALSE	FALSE	FALSE	FALSE
5664-b	1455301358540	47	subSuperTrial	basic33	minivan	target	4	3	car	vehicle	squirrel	distractor	3	2	NA	animal	pretzels	distractor	2	4	NA	snack	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	1	1	0	van		1455301357202	van	False	False	False	minivan	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
5664-b	1455301363124	48	subSuperTrial	basic33	goldFish	target	3	2	fish	animal	pretzels	distractor	4	4	NA	snack	lamp	distractor	2	3	NA	furniture	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	1	1	0	fish		1455301361697	fish	False	False	False	goldFish	NA	NA	FALSE	TRUE	FALSE	FALSE	FALSE
5664-b	1455301379684	51	subSuperTrial	basic22	tulip	target	3	3	flower	plant	pottedPlant	distractor	4	4	NA	plant	grasses	distractor	2	2	NA	plant	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	1	1	0	rose		1455301377209	rose	False	False	False	tulip	NA	NA	TRUE	FALSE	FALSE	FALSE	FALSE
5664-b	1455301391204	52	subSuperTrial	basic12	picnicTable	target	3	2	table	furniture	sideTable	distractor	4	4	table	furniture	bookcase	distractor	2	3	NA	furniture	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	1	1	0	picnic bench		1455301389338	picnic bench	False	False	False	picnicTable	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
5664-b	1455301397213	53	subSuperTrial	basic33	jellyBeans	target	2	2	candy	snack	crocodile	distractor	4	4	NA	animal	wardrobe	distractor	3	3	NA	furniture	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	1	1	0	jelly beans		1455301395795	jelly beans	False	False	False	jellyBeans	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
5664-b	1455301401596	54	subSuperTrial	basic23	hummingBird	target	2	3	bird	animal	pretzels	distractor	3	4	NA	snack	squirrel	distractor	4	2	NA	animal	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	1	1	0	bird		1455301400297	bird	False	False	False	hummingBird	NA	NA	FALSE	TRUE	FALSE	FALSE	FALSE
5664-b	1455301412900	56	subSuperTrial	basic33	daisy	target	3	2	flower	plant	hamster	distractor	4	4	NA	animal	firetruck	distractor	2	3	NA	vehicle	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	1	1	0	flower		1455301411427	flower	False	False	False	daisy	NA	NA	FALSE	TRUE	FALSE	FALSE	FALSE
5664-b	1455301438685	61	subSuperTrial	basic23	dalmatian	target	2	3	dog	animal	ivy	distractor	3	2	NA	plant	lobster	distractor	4	4	NA	animal	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	1	1	0	dog		1455301437271	dog	False	False	False	dalmatian	NA	NA	FALSE	TRUE	FALSE	FALSE	FALSE
5664-b	1455301443771	62	subSuperTrial	basic22	eagle	target	3	4	bird	animal	horse	distractor	4	2	NA	animal	rhino	distractor	2	3	NA	animal	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	1	1	0	eagle		1455301442264	eagle	False	False	True	eagle	NA	NA	TRUE	FALSE	FALSE	FALSE	FALSE
