gameid	 time	 roundNum	 trialType	 condition	nameClickedObj	 targetStatusClickedObj	 spLocsClickedObj	 lisLocsClickedObj	 basiclevelClickedObj	 superdomainClickedObj	 alt1Name	 alt1TargetStatus	 alt1SpLocs	 alt1LisLocs	 alt1Basiclevel	 alt1superdomain	 alt2Name	 alt2TargetStatus	 alt2SpLocs	 alt2LisLocs	 alt2Basiclevel	 alt2superdomain	 alt3Name	 alt3TargetStatus	 alt3SpLocs	 alt3LisLocs	 alt3Basiclevel	 alt3superdomain	 alt4Name	 alt4TargetStatus	 alt4SpLocs	 alt4LisLocs	 alt4Basiclevel	 alt4superdomain	numMessages	numSMessages	numLMessages	speakerMessages	listenerMessages	messageTimeStamps	 refExp	sizeMentioned	colorMentioned	typeMentioned	clickedType	clickedSize	clickedColor
4242-5	1455301095862	1	colorSizeTrial	size41	small_blue_ornament	target	5	5	NA	NA	big_purple_ornament	distractor	1	1	NA	NA	big_purple_ornament	distractor	4	4	NA	NA	big_purple_ornament	distractor	3	2	NA	NA	big_blue_ornament	distractor	2	3	NA	NA	2	1	1	its a small blue ornament	What color is the ornament?	1455301079649___1455301091733	its a small blue ornament	True	True	True	ornament	small	blue
4242-5	1455301107495	2	colorSizeTrial	size33	small_brown_turtle	target	4	1	NA	NA	big_brown_turtle	distractor	3	3	NA	NA	big_brown_turtle	distractor	1	4	NA	NA	big_brown_turtle	distractor	2	2	NA	NA	undefined	undefined	undefined	undefined	undefined	undefined	2	2	0	blue___its the smallest turtle		1455301097032___1455301104610	blue	False	False	False	turtle	small	brown
4242-5	1455301115011	3	subSuperTrial	basic33	parrot	target	4	3	bird	animal	firetruck	distractor	2	2	NA	vehicle	pottedPlant	distractor	3	4	NA	plant	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	1	1	0	its the bird		1455301113482	its the bird	False	False	False	parrot	NA	NA
4242-5	1455301122886	4	subSuperTrial	basic22	convertible	target	4	3	car	vehicle	train	distractor	2	4	NA	vehicle	motorcycle	distractor	3	2	NA	vehicle	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	1	1	0	it is the car		1455301121167	it is the car	False	False	False	convertible	NA	NA
4242-5	1455301133939	5	subSuperTrial	basic23	skittles	target	4	4	candy	snack	crocodile	distractor	2	3	NA	animal	popcorn	distractor	3	2	NA	snack	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	1	1	0	the candy		1455301132187	the candy	False	False	False	skittles	NA	NA
4242-5	1455301147524	6	colorSizeTrial	color44	small_purple_butterfly	target	5	2	NA	NA	small_blue_butterfly	distractor	3	5	NA	NA	small_blue_butterfly	distractor	1	3	NA	NA	small_blue_butterfly	distractor	2	1	NA	NA	small_blue_butterfly	distractor	4	4	NA	NA	1	1	0	the pink butterfly		1455301145129	the pink butterfly	False	False	True	butterfly	small	purple
4242-5	1455301159558	7	subSuperTrial	basic12	dressShirt	target	4	2	shirt	clothing	campShirt	distractor	2	3	shirt	clothing	socks	distractor	3	4	NA	clothing	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	1	1	0	the blue shirt with long sleeves		1455301156492	the blue shirt with long sleeves	False	False	False	dressShirt	NA	NA
4242-5	1455301167564	8	subSuperTrial	basic12	daisy	target	4	4	flower	plant	grasses	distractor	2	2	NA	plant	lily	distractor	3	3	flower	plant	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	1	1	0	the daisy		1455301165774	the daisy	False	False	True	daisy	NA	NA
4242-5	1455301176935	9	colorSizeTrial	color21	small_pink_golfball	target	4	2	NA	NA	big_blue_golfball	distractor	3	3	NA	NA	small_blue_golfball	distractor	2	4	NA	NA	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	1	1	0	the pink golf ball		1455301174929	the pink golf ball	False	True	False	golfball	small	pink
4242-5	1455301185971	10	colorSizeTrial	color31	small_green_rock	target	2	1	NA	NA	small_purple_rock	distractor	1	2	NA	NA	big_purple_rock	distractor	4	3	NA	NA	big_purple_rock	distractor	3	4	NA	NA	undefined	undefined	undefined	undefined	undefined	undefined	1	1	0	the green thing		1455301184214	the green thing	False	True	False	rock	small	green
