clickedType,condition,DistractorCombo
suv,basic23,ambulance pottedPlant
dressshirt,basic22,dress socks
picnictable,basic12,bed sideTable
grizzlybear,basic12,cow koalaBear
husky,basic12,greyhound hamster
parrot,basic33,bookcase train
goldfish,basic22,lobster rhino
minivan,basic33,grasses lamp
gummybears,basic33,dress grasses
eagle,basic23,lobster rosemary
jellybeans,basic23,chips socks
tulip,basic33,horse socks
convertible,basic22,firetruck motorcycle
diningtable,basic12,sideTable wardrobe
blackbear,basic12,koalaBear lion
poloshirt,basic23,bathrobe rhino
mnms,basic23,gloves popcorn
rose,basic23,elephant pottedPlant
hawaiishirt,basic33,grasses lion
pigeon,basic22,lion rhino
coffeetable,basic23,bookcase grasses
polarbear,basic22,crocodile hamster
pug,basic22,horse iguana
germanshepherd,basic22,iguana squirrel
daisy,basic33,cow gloves
swordfish,basic12,discusFish squirrel
pandabear,basic12,bison koalaBear
dalmatian,basic33,bookcase cookies
catfish,basic22,horse iguana
bedsidetable,basic33,cow motorcycle
sportscar,basic23,ambulance sheep
hummingbird,basic23,gloves rhino
skittles,basic12,candyCorn popcorn
swordfish,basic23,lobster train
sunflower,basic33,rabbit wardrobe
pigeon,basic22,rhino snake
husky,basic22,rabbit sheep
picnictable,basic12,bookcase sideTable
parrot,basic33,ambulance rosemary
bedsidetable,basic33,cookies pig
catfish,basic22,kitten lobster
mnms,basic23,ambulance popcorn
diningtable,basic12,bookcase sideTable
daisy,basic23,crocodile ivy
polarbear,basic12,koalaBear pig
coffeetable,basic33,popcorn sheep
tshirt,basic33,pottedPlant sheep
pandabear,basic33,bathrobe bookcase
minivan,basic33,grasses wardrobe
goldfish,basic22,hamster snake
sportscar,basic22,ambulance firetruck
eagle,basic23,iguana pottedPlant
hawaiishirt,basic23,bookcase gloves
gummybears,basic22,cookies popcorn
blackbear,basic22,iguana rhino
poloshirt,basic33,crocodile wardrobe
dalmatian,basic23,sheep train
grizzlybear,basic23,hamster train
pug,basic22,horse lion
skittles,basic23,chips socks
germanshepherd,basic33,pottedPlant train
jellybeans,basic22,chips pretzels
diningtable,basic22,bookcase lamp
pug,basic22,elephant pig
goldfish,basic22,cow rhino
clownfish,basic33,cookies gloves
jellybeans,basic23,bookcase popcorn
husky,basic12,greyhound rhino
daisy,basic12,lily rosemary
dalmatian,basic22,snake squirrel
polarbear,basic22,cow crocodile
blackbear,basic33,lamp rosemary
germanshepherd,basic12,greyhound pig
poloshirt,basic23,bookcase dress
bedsidetable,basic22,bed bookcase
catfish,basic12,discusFish horse
hummingbird,basic12,crocodile sparrow
pandabear,basic33,gloves train
dressshirt,basic23,chips gloves
convertible,basic33,gloves rabbit
picnictable,basic23,bookcase kitten
minivan,basic23,pig train
pigeon,basic33,bed chips
hawaiishirt,basic12,campShirt gloves
tshirt,basic22,bathrobe gloves
parrot,basic33,dress motorcycle
sportscar,basic23,bathrobe train
hawaiishirt,basic22,dress socks
skittles,basic23,chips lobster
catfish,basic12,discusFish sheep
poloshirt,basic33,grasses motorcycle
tulip,basic23,popcorn pottedPlant
dressshirt,basic12,bathrobe campShirt
dalmatian,basic23,elephant popcorn
sportscar,basic23,pretzels train
coffeetable,basic23,bed popcorn
parrot,basic23,firetruck rhino
gummybears,basic23,chips pig
hummingbird,basic22,crocodile lion
blackbear,basic22,crocodile horse
sunflower,basic33,pretzels snake
goldfish,basic33,chips gloves
grizzlybear,basic12,koalaBear rhino
rose,basic23,ivy snake
pigeon,basic33,firetruck pottedPlant
bedsidetable,basic12,lamp sideTable
minivan,basic33,pretzels snake
polarbear,basic22,lobster snake
pandabear,basic23,firetruck hamster
picnictable,basic33,firetruck horse
pug,basic33,pretzels socks
eagle,basic33,firetruck pottedPlant
mnms,basic12,candyCorn pretzels
daisy,basic22,pottedPlant rosemary
convertible,basic22,ambulance train
tshirt,basic22,dress gloves
clownfish,basic22,hamster rabbit
suv,basic12,motorcycle sedan
husky,basic12,elephant greyhound
swordfish,basic33,popcorn socks
germanshepherd,basic12,elephant greyhound
coffeetable,basic33,cow popcorn
rose,basic23,grasses pretzels
convertible,basic33,bed pig
gummybears,basic22,chips pretzels
sunflower,basic12,grasses lily
jellybeans,basic12,candyCorn popcorn
hawaiishirt,basic12,bathrobe campShirt
mnms,basic33,ambulance hamster
tshirt,basic23,dress wardrobe
dressshirt,basic12,campShirt socks
picnictable,basic23,lamp lobster
grizzlybear,basic22,lion snake
poloshirt,basic33,firetruck pretzels
dalmatian,basic22,bison rabbit
suv,basic33,ivy wardrobe
blackbear,basic23,bed sheep
sportscar,basic12,sedan train
pigeon,basic22,cow crocodile
husky,basic22,crocodile iguana
polarbear,basic22,lion squirrel
eagle,basic22,horse squirrel
daisy,basic12,grasses lily
pandabear,basic12,koalaBear lion
bedsidetable,basic23,elephant lamp
clownfish,basic33,popcorn rosemary
germanshepherd,basic33,dress ivy
swordfish,basic22,lobster snake
hummingbird,basic23,cow pottedPlant
minivan,basic23,ambulance rabbit
tulip,basic23,ivy lamp
goldfish,basic33,chips train
catfish,basic23,bathrobe lobster
pug,basic22,crocodile horse
skittles,basic33,gloves pottedPlant
parrot,basic12,lobster sparrow
parrot,basic33,lamp popcorn
tshirt,basic12,campShirt gloves
swordfish,basic12,discusFish rabbit
eagle,basic12,sparrow squirrel
bedsidetable,basic22,lamp wardrobe
picnictable,basic23,bookcase rosemary
poloshirt,basic23,firetruck socks
rose,basic33,crocodile dress
polarbear,basic12,bison koalaBear
tulip,basic33,bookcase lion
grizzlybear,basic22,iguana squirrel
dalmatian,basic12,greyhound kitten
germanshepherd,basic23,bison chips
diningtable,basic33,lion pottedPlant
hummingbird,basic22,rabbit sheep
husky,basic12,greyhound horse
pug,basic23,ambulance squirrel
goldfish,basic33,gloves grasses
dressshirt,basic33,bookcase crocodile
sunflower,basic23,chips ivy
convertible,basic22,ambulance motorcycle
minivan,basic23,ambulance socks
pigeon,basic23,motorcycle rabbit
pandabear,basic22,iguana lobster
coffeetable,basic23,bookcase rhino
mnms,basic22,cookies popcorn
suv,basic22,ambulance motorcycle
sportscar,basic23,kitten train
catfish,basic22,iguana squirrel
gummybears,basic12,candyCorn pretzels
skittles,basic33,ivy squirrel
blackbear,basic12,koalaBear rabbit
clownfish,basic33,pretzels socks
jellybeans,basic33,bed bison
clownfish,basic23,crocodile gloves
tshirt,basic22,bathrobe socks
blackbear,basic12,koalaBear lobster
suv,basic12,sedan train
hawaiishirt,basic33,bed chips
grizzlybear,basic22,elephant kitten
germanshepherd,basic22,iguana sheep
convertible,basic23,bison train
skittles,basic22,cookies pretzels
rose,basic23,bison rosemary
pug,basic12,greyhound kitten
swordfish,basic12,discusFish pig
gummybears,basic33,motorcycle squirrel
sportscar,basic33,lobster rosemary
sunflower,basic23,iguana pottedPlant
parrot,basic22,horse lion
poloshirt,basic12,campShirt dress
dressshirt,basic33,chips crocodile
coffeetable,basic23,gloves wardrobe
polarbear,basic12,elephant koalaBear
pigeon,basic23,dress horse
minivan,basic33,pretzels squirrel
goldfish,basic33,lamp pretzels
tulip,basic22,grasses pottedPlant
jellybeans,basic33,crocodile wardrobe
hummingbird,basic23,pretzels squirrel
daisy,basic33,firetruck hamster
dalmatian,basic23,ivy lobster
eagle,basic22,horse rhino
pandabear,basic22,sheep squirrel
husky,basic23,cookies lobster
husky,basic12,greyhound sheep
dalmatian,basic33,gloves rosemary
pandabear,basic33,bed popcorn
rose,basic23,popcorn pottedPlant
tulip,basic23,cow rosemary
pigeon,basic23,bathrobe elephant
blackbear,basic22,kitten squirrel
eagle,basic22,horse kitten
sunflower,basic23,ivy pig
polarbear,basic12,koalaBear snake
skittles,basic22,chips cookies
minivan,basic22,ambulance train
sunflower,basic22,ivy pottedPlant
daisy,basic23,iguana rosemary
pigeon,basic33,rosemary train
suv,basic22,ambulance train
pandabear,basic22,crocodile horse
hummingbird,basic12,iguana sparrow
convertible,basic33,lamp pretzels
germanshepherd,basic12,greyhound horse
skittles,basic33,bathrobe motorcycle
goldfish,basic12,discusFish kitten
blackbear,basic12,koalaBear rhino
rose,basic12,ivy lily
dalmatian,basic23,bookcase lobster
eagle,basic22,lobster rabbit
polarbear,basic22,iguana squirrel
minivan,basic23,ambulance wardrobe
picnictable,basic23,crocodile wardrobe
tshirt,basic23,bed socks
hawaiishirt,basic33,ambulance wardrobe
catfish,basic23,lobster pretzels
poloshirt,basic12,campShirt gloves
diningtable,basic33,grasses sheep
coffeetable,basic23,lamp rosemary
husky,basic33,pottedPlant wardrobe
parrot,basic22,hamster lobster
dressshirt,basic23,gloves rosemary
sportscar,basic33,bison dress
mnms,basic23,pretzels rabbit
pug,basic22,snake squirrel
gummybears,basic33,gloves rabbit
clownfish,basic12,bison discusFish
grizzlybear,basic33,popcorn train
goldfish,basic22,cow rabbit
sportscar,basic33,bathrobe popcorn
husky,basic12,crocodile greyhound
convertible,basic12,motorcycle sedan
diningtable,basic22,lamp wardrobe
suv,basic33,chips wardrobe
swordfish,basic23,elephant lamp
tulip,basic12,lily pottedPlant
pug,basic33,ambulance cookies
sunflower,basic33,pig train
blackbear,basic33,bookcase dress
grizzlybear,basic12,iguana koalaBear
dressshirt,basic33,hamster pottedPlant
clownfish,basic22,lobster rabbit
hummingbird,basic33,chips motorcycle
daisy,basic23,firetruck rosemary
mnms,basic23,lion popcorn
tshirt,basic23,horse socks
pandabear,basic22,lobster pig
coffeetable,basic23,bookcase kitten
jellybeans,basic33,lobster wardrobe
pigeon,basic12,sheep sparrow
polarbear,basic22,horse squirrel
catfish,basic12,discusFish elephant
hawaiishirt,basic22,gloves socks
poloshirt,basic22,bathrobe gloves
germanshepherd,basic23,hamster train
picnictable,basic22,bookcase wardrobe
rose,basic23,rosemary socks
bedsidetable,basic12,sideTable wardrobe
eagle,basic22,elephant pig
minivan,basic33,cow grasses
skittles,basic12,candyCorn chips
parrot,basic12,snake sparrow
dalmatian,basic23,bison dress
gummybears,basic23,chips lobster
parrot,basic33,firetruck pottedPlant
convertible,basic22,motorcycle train
skittles,basic23,crocodile popcorn
swordfish,basic33,dress grasses
tshirt,basic23,dress horse
tulip,basic23,rhino rosemary
pandabear,basic23,ambulance squirrel
polarbear,basic23,rabbit socks
sportscar,basic12,firetruck sedan
coffeetable,basic23,sheep wardrobe
germanshepherd,basic22,crocodile pig
hummingbird,basic33,cookies wardrobe
goldfish,basic12,discusFish squirrel
catfish,basic22,crocodile rhino
diningtable,basic22,bed lamp
husky,basic22,cow squirrel
clownfish,basic22,crocodile iguana
minivan,basic33,elephant pretzels
hawaiishirt,basic22,bathrobe socks
grizzlybear,basic12,koalaBear pig
pigeon,basic22,elephant pig
jellybeans,basic33,pottedPlant snake
blackbear,basic33,bookcase train
rose,basic12,lily pottedPlant
bedsidetable,basic33,bison ivy
mnms,basic33,grasses horse
pug,basic23,hamster socks
eagle,basic12,lion sparrow
picnictable,basic33,ivy squirrel
dalmatian,basic22,kitten snake
sunflower,basic12,lily rosemary
gummybears,basic23,cookies grasses
poloshirt,basic23,bathrobe chips
rose,basic23,grasses horse
diningtable,basic22,bed wardrobe
suv,basic23,firetruck gloves
polarbear,basic33,ambulance cookies
grizzlybear,basic23,horse popcorn
blackbear,basic22,hamster pig
swordfish,basic33,bookcase pretzels
tulip,basic33,cow socks
pug,basic22,horse rhino
dalmatian,basic22,bison lion
pigeon,basic12,horse sparrow
jellybeans,basic12,candyCorn pretzels
coffeetable,basic22,bed wardrobe
minivan,basic12,motorcycle sedan
mnms,basic33,grasses pig
goldfish,basic12,discusFish horse
poloshirt,basic23,ambulance bathrobe
dressshirt,basic23,lamp socks
parrot,basic23,dress hamster
hummingbird,basic22,crocodile squirrel
gummybears,basic33,grasses socks
sunflower,basic33,bison cookies
eagle,basic23,kitten lamp
daisy,basic33,ambulance horse
convertible,basic23,firetruck iguana
husky,basic22,lobster squirrel
hawaiishirt,basic33,ivy popcorn
germanshepherd,basic12,greyhound lobster
pigeon,basic23,hamster train
pandabear,basic12,iguana koalaBear
poloshirt,basic12,campShirt socks
eagle,basic12,bison sparrow
sportscar,basic23,bookcase firetruck
germanshepherd,basic22,crocodile hamster
convertible,basic23,ambulance cow
daisy,basic22,ivy rosemary
hummingbird,basic12,elephant sparrow
clownfish,basic23,cow lamp
swordfish,basic22,bison horse
coffeetable,basic23,pretzels wardrobe
jellybeans,basic33,firetruck ivy
goldfish,basic22,hamster kitten
parrot,basic33,bed gloves
polarbear,basic22,elephant lion
picnictable,basic22,bed wardrobe
skittles,basic12,candyCorn pretzels
grizzlybear,basic12,koalaBear lobster
gummybears,basic33,bathrobe sheep
minivan,basic33,dress popcorn
dressshirt,basic22,bathrobe gloves
pug,basic23,rabbit rosemary
husky,basic12,greyhound rabbit
blackbear,basic33,dress lamp
diningtable,basic23,motorcycle wardrobe
dalmatian,basic23,popcorn rhino
suv,basic33,bison popcorn
catfish,basic33,cookies wardrobe
mnms,basic33,bison lamp
sunflower,basic23,ivy kitten
rose,basic33,pretzels socks
gummybears,basic12,candyCorn popcorn
germanshepherd,basic12,greyhound sheep
jellybeans,basic33,bookcase motorcycle
picnictable,basic23,hamster lamp
