condition,targetName,alt1Name,alt2Name
basic23,suv,ambulance,pottedplant
basic22,dressshirt,dress,socks
basic12,picnictable,sidetable,bed
basic12,grizzlybear,koalabear,cow
basic12,husky,greyhound,hamster
basic33,parrot,train,bookcase
basic22,goldfish,lobster,rhino
basic33,minivan,lamp,grasses
basic33,gummybears,grasses,dress
basic23,eagle,lobster,rosemary
basic23,jellybeans,chips,socks
basic33,tulip,horse,socks
basic22,convertible,motorcycle,firetruck
basic12,diningtable,sidetable,wardrobe
basic12,blackbear,lion,koalabear
basic23,poloshirt,rhino,bathrobe
basic23,mnms,popcorn,gloves
basic23,rose,elephant,pottedplant
basic33,hawaiishirt,grasses,lion
basic22,pigeon,lion,rhino
basic23,coffeetable,grasses,bookcase
basic22,polarbear,crocodile,hamster
basic22,pug,iguana,horse
basic22,germanshepherd,iguana,squirrel
basic33,daisy,cow,gloves
basic12,swordfish,squirrel,discusfish
basic12,pandabear,bison,koalabear
basic33,dalmatian,bookcase,cookies
basic22,catfish,iguana,horse
basic33,bedsidetable,motorcycle,cow
basic23,sportscar,ambulance,sheep
basic23,hummingbird,rhino,gloves
basic12,skittles,candycorn,popcorn
basic23,swordfish,lobster,train
basic33,sunflower,wardrobe,rabbit
basic22,pigeon,rhino,snake
basic22,husky,rabbit,sheep
basic12,picnictable,sidetable,bookcase
basic33,parrot,ambulance,rosemary
basic33,bedsidetable,cookies,pig
basic22,catfish,lobster,kitten
basic23,mnms,ambulance,popcorn
basic12,diningtable,bookcase,sidetable
basic23,daisy,crocodile,ivy
basic12,polarbear,koalabear,pig
basic33,coffeetable,popcorn,sheep
basic33,tshirt,pottedplant,sheep
basic33,pandabear,bookcase,bathrobe
basic33,minivan,wardrobe,grasses
basic22,goldfish,hamster,snake
basic22,sportscar,firetruck,ambulance
basic23,eagle,pottedplant,iguana
basic23,hawaiishirt,gloves,bookcase
basic22,gummybears,cookies,popcorn
basic22,blackbear,iguana,rhino
basic33,poloshirt,wardrobe,crocodile
basic23,dalmatian,train,sheep
basic23,grizzlybear,train,hamster
basic22,pug,horse,lion
basic23,skittles,chips,socks
basic33,germanshepherd,train,pottedplant
basic22,jellybeans,chips,pretzels
basic22,diningtable,bookcase,lamp
basic22,pug,elephant,pig
basic22,goldfish,cow,rhino
basic33,clownfish,gloves,cookies
basic23,jellybeans,popcorn,bookcase
basic12,husky,rhino,greyhound
basic12,daisy,rosemary,lily
basic22,dalmatian,squirrel,snake
basic22,polarbear,crocodile,cow
basic33,blackbear,lamp,rosemary
basic12,germanshepherd,greyhound,pig
basic23,poloshirt,dress,bookcase
basic22,bedsidetable,bookcase,bed
basic12,catfish,discusfish,horse
basic12,hummingbird,crocodile,sparrow
basic33,pandabear,train,gloves
basic23,dressshirt,gloves,chips
basic33,convertible,rabbit,gloves
basic23,picnictable,bookcase,kitten
basic23,minivan,pig,train
basic33,pigeon,bed,chips
basic12,hawaiishirt,gloves,campshirt
basic22,tshirt,gloves,bathrobe
basic33,parrot,dress,motorcycle
basic23,sportscar,bathrobe,train
basic22,hawaiishirt,dress,socks
basic23,skittles,chips,lobster
basic12,catfish,discusfish,sheep
basic33,poloshirt,motorcycle,grasses
basic23,tulip,popcorn,pottedplant
basic12,dressshirt,bathrobe,campshirt
basic23,dalmatian,popcorn,elephant
basic23,sportscar,pretzels,train
basic23,coffeetable,bed,popcorn
basic23,parrot,rhino,firetruck
basic23,gummybears,chips,pig
basic22,hummingbird,crocodile,lion
basic22,blackbear,crocodile,horse
basic12,diningtable,wardrobe,sidetable
basic33,sunflower,snake,pretzels
basic33,goldfish,chips,gloves
basic12,grizzlybear,koalabear,rhino
basic23,rose,snake,ivy
basic33,pigeon,firetruck,pottedplant
basic12,bedsidetable,sidetable,lamp
basic33,minivan,pretzels,snake
basic22,jellybeans,pretzels,chips
basic22,polarbear,snake,lobster
basic23,pandabear,hamster,firetruck
basic33,picnictable,firetruck,horse
basic33,pug,pretzels,socks
basic33,eagle,firetruck,pottedplant
basic12,mnms,candycorn,pretzels
basic22,daisy,pottedplant,rosemary
basic22,convertible,ambulance,train
basic22,tshirt,gloves,dress
basic22,clownfish,rabbit,hamster
basic12,suv,motorcycle,sedan
basic12,husky,elephant,greyhound
basic33,swordfish,socks,popcorn
basic12,germanshepherd,elephant,greyhound
basic33,coffeetable,popcorn,cow
basic23,rose,pretzels,grasses
basic33,convertible,pig,bed
basic22,gummybears,chips,pretzels
basic12,sunflower,grasses,lily
basic12,jellybeans,popcorn,candycorn
basic12,hawaiishirt,campshirt,bathrobe
basic33,mnms,ambulance,hamster
basic23,tshirt,wardrobe,dress
basic12,dressshirt,campshirt,socks
basic23,picnictable,lobster,lamp
basic22,grizzlybear,snake,lion
basic33,poloshirt,pretzels,firetruck
basic22,dalmatian,bison,rabbit
basic33,suv,wardrobe,ivy
basic23,blackbear,bed,sheep
basic12,sportscar,sedan,train
basic22,pigeon,crocodile,cow
basic22,husky,iguana,crocodile
basic22,polarbear,lion,squirrel
basic22,eagle,squirrel,horse
basic12,daisy,lily,grasses
basic12,pandabear,lion,koalabear
basic23,bedsidetable,elephant,lamp
basic33,clownfish,rosemary,popcorn
basic33,germanshepherd,dress,ivy
basic22,swordfish,snake,lobster
basic23,hummingbird,pottedplant,cow
basic23,minivan,ambulance,rabbit
basic23,tulip,ivy,lamp
basic33,goldfish,train,chips
basic23,catfish,bathrobe,lobster
basic22,pug,horse,crocodile
basic33,skittles,pottedplant,gloves
basic12,parrot,lobster,sparrow
basic33,parrot,popcorn,lamp
basic12,tshirt,gloves,campshirt
basic12,swordfish,rabbit,discusfish
basic12,eagle,squirrel,sparrow
basic22,bedsidetable,lamp,wardrobe
basic23,picnictable,rosemary,bookcase
basic23,poloshirt,socks,firetruck
basic33,rose,crocodile,dress
basic12,polarbear,bison,koalabear
basic33,tulip,lion,bookcase
basic22,grizzlybear,squirrel,iguana
basic12,dalmatian,greyhound,kitten
basic23,germanshepherd,bison,chips
basic33,diningtable,lion,pottedplant
basic22,hummingbird,rabbit,sheep
basic12,husky,horse,greyhound
basic23,pug,ambulance,squirrel
basic33,goldfish,gloves,grasses
basic33,dressshirt,bookcase,crocodile
basic23,sunflower,chips,ivy
basic22,convertible,motorcycle,ambulance
basic23,minivan,socks,ambulance
basic23,pigeon,rabbit,motorcycle
basic22,pandabear,iguana,lobster
basic23,coffeetable,bookcase,rhino
basic22,mnms,cookies,popcorn
basic22,suv,motorcycle,ambulance
basic23,sportscar,kitten,train
basic22,catfish,squirrel,iguana
basic12,gummybears,candycorn,pretzels
basic33,skittles,ivy,squirrel
basic12,blackbear,koalabear,rabbit
basic33,clownfish,socks,pretzels
basic33,jellybeans,bed,bison
basic23,clownfish,gloves,crocodile
basic22,tshirt,socks,bathrobe
basic12,blackbear,koalabear,lobster
basic22,diningtable,lamp,bookcase
basic12,suv,sedan,train
basic33,hawaiishirt,bed,chips
basic22,grizzlybear,elephant,kitten
basic22,germanshepherd,sheep,iguana
basic23,convertible,train,bison
basic22,skittles,cookies,pretzels
basic23,rose,rosemary,bison
basic12,pug,greyhound,kitten
basic12,swordfish,pig,discusfish
basic33,gummybears,motorcycle,squirrel
basic33,sportscar,lobster,rosemary
basic23,sunflower,pottedplant,iguana
basic22,parrot,lion,horse
basic12,poloshirt,campshirt,dress
basic33,dressshirt,chips,crocodile
basic23,coffeetable,gloves,wardrobe
basic12,polarbear,elephant,koalabear
basic23,pigeon,horse,dress
basic33,minivan,squirrel,pretzels
basic33,goldfish,pretzels,lamp
basic22,tulip,pottedplant,grasses
basic33,jellybeans,crocodile,wardrobe
basic23,hummingbird,pretzels,squirrel
basic33,daisy,hamster,firetruck
basic23,dalmatian,ivy,lobster
basic22,eagle,horse,rhino
basic22,pandabear,squirrel,sheep
basic23,husky,lobster,cookies
basic12,husky,sheep,greyhound
basic33,dalmatian,gloves,rosemary
basic33,pandabear,popcorn,bed
basic23,rose,popcorn,pottedplant
basic23,tulip,rosemary,cow
basic23,pigeon,elephant,bathrobe
basic22,blackbear,squirrel,kitten
basic22,eagle,horse,kitten
basic23,sunflower,ivy,pig
basic12,polarbear,koalabear,snake
basic22,skittles,cookies,chips
basic22,minivan,ambulance,train
basic22,sunflower,ivy,pottedplant
basic23,daisy,iguana,rosemary
basic33,pigeon,rosemary,train
basic22,suv,train,ambulance
basic22,pandabear,horse,crocodile
basic12,hummingbird,sparrow,iguana
basic33,convertible,lamp,pretzels
basic12,germanshepherd,greyhound,horse
basic33,skittles,motorcycle,bathrobe
basic12,goldfish,discusfish,kitten
basic12,blackbear,rhino,koalabear
basic12,rose,ivy,lily
basic23,dalmatian,lobster,bookcase
basic22,eagle,rabbit,lobster
basic22,polarbear,squirrel,iguana
basic23,minivan,wardrobe,ambulance
basic23,picnictable,crocodile,wardrobe
basic23,tshirt,bed,socks
basic33,hawaiishirt,ambulance,wardrobe
basic23,catfish,lobster,pretzels
basic12,poloshirt,campshirt,gloves
basic33,diningtable,grasses,sheep
basic23,coffeetable,rosemary,lamp
basic33,husky,wardrobe,pottedplant
basic22,parrot,hamster,lobster
basic23,dressshirt,rosemary,gloves
basic33,sportscar,dress,bison
basic23,mnms,rabbit,pretzels
basic12,swordfish,discusfish,squirrel
basic22,pug,snake,squirrel
basic33,gummybears,rabbit,gloves
basic12,clownfish,bison,discusfish
basic33,grizzlybear,popcorn,train
basic22,bedsidetable,wardrobe,lamp
basic22,goldfish,rabbit,cow
basic33,sportscar,popcorn,bathrobe
basic12,husky,greyhound,crocodile
basic12,convertible,motorcycle,sedan
basic22,diningtable,wardrobe,lamp
basic33,suv,wardrobe,chips
basic23,swordfish,elephant,lamp
basic12,tulip,pottedplant,lily
basic33,pug,ambulance,cookies
basic33,sunflower,pig,train
basic33,blackbear,dress,bookcase
basic12,grizzlybear,iguana,koalabear
basic33,dressshirt,pottedplant,hamster
basic22,clownfish,lobster,rabbit
basic33,hummingbird,chips,motorcycle
basic23,daisy,rosemary,firetruck
basic23,mnms,lion,popcorn
basic23,tshirt,socks,horse
basic22,pandabear,lobster,pig
basic23,coffeetable,kitten,bookcase
basic33,jellybeans,wardrobe,lobster
basic12,pigeon,sheep,sparrow
basic22,polarbear,squirrel,horse
basic12,catfish,elephant,discusfish
basic22,hawaiishirt,socks,gloves
basic22,poloshirt,bathrobe,gloves
basic23,germanshepherd,hamster,train
basic22,picnictable,wardrobe,bookcase
basic23,rose,rosemary,socks
basic12,bedsidetable,wardrobe,sidetable
basic22,eagle,elephant,pig
basic33,minivan,cow,grasses
basic12,skittles,chips,candycorn
basic12,parrot,sparrow,snake
basic23,dalmatian,dress,bison
basic23,gummybears,lobster,chips
basic33,parrot,firetruck,pottedplant
basic22,convertible,train,motorcycle
basic23,skittles,crocodile,popcorn
basic12,daisy,grasses,lily
basic33,swordfish,grasses,dress
basic23,tshirt,dress,horse
basic23,tulip,rosemary,rhino
basic23,pandabear,squirrel,ambulance
basic23,polarbear,socks,rabbit
basic12,sportscar,firetruck,sedan
basic23,coffeetable,wardrobe,sheep
basic22,germanshepherd,crocodile,pig
basic33,hummingbird,wardrobe,cookies
basic12,goldfish,discusfish,squirrel
basic22,catfish,rhino,crocodile
basic22,diningtable,lamp,bed
basic22,husky,squirrel,cow
basic22,clownfish,iguana,crocodile
basic33,minivan,elephant,pretzels
basic22,hawaiishirt,bathrobe,socks
basic12,grizzlybear,pig,koalabear
basic22,pigeon,pig,elephant
basic33,jellybeans,pottedplant,snake
basic33,blackbear,bookcase,train
basic12,rose,lily,pottedplant
basic33,bedsidetable,ivy,bison
basic33,mnms,grasses,horse
basic23,pug,socks,hamster
basic12,eagle,lion,sparrow
basic33,picnictable,ivy,squirrel
basic22,dalmatian,kitten,snake
basic12,sunflower,lily,rosemary
basic23,gummybears,grasses,cookies
basic23,poloshirt,bathrobe,chips
basic23,rose,horse,grasses
basic22,diningtable,bed,wardrobe
basic23,suv,firetruck,gloves
basic33,polarbear,ambulance,cookies
basic23,grizzlybear,horse,popcorn
basic22,blackbear,pig,hamster
basic33,swordfish,bookcase,pretzels
basic33,tulip,cow,socks
basic12,skittles,candycorn,chips
basic22,pug,horse,rhino
basic22,dalmatian,lion,bison
basic12,pigeon,sparrow,horse
basic12,jellybeans,candycorn,pretzels
basic22,coffeetable,bed,wardrobe
basic12,minivan,motorcycle,sedan
basic33,mnms,pig,grasses
basic12,goldfish,horse,discusfish
basic23,poloshirt,ambulance,bathrobe
basic23,dressshirt,lamp,socks
basic12,picnictable,bed,sidetable
basic23,parrot,hamster,dress
basic22,hummingbird,crocodile,squirrel
basic33,gummybears,socks,grasses
basic33,sunflower,bison,cookies
basic23,eagle,kitten,lamp
basic33,daisy,ambulance,horse
basic23,convertible,firetruck,iguana
basic22,husky,squirrel,lobster
basic33,hawaiishirt,popcorn,ivy
basic12,germanshepherd,lobster,greyhound
basic23,pigeon,hamster,train
basic12,pandabear,iguana,koalabear
basic12,poloshirt,socks,campshirt
basic12,eagle,bison,sparrow
basic23,sportscar,bookcase,firetruck
basic22,germanshepherd,hamster,crocodile
basic23,convertible,ambulance,cow
basic22,daisy,rosemary,ivy
basic12,hummingbird,sparrow,elephant
basic23,clownfish,cow,lamp
basic22,swordfish,bison,horse
basic23,coffeetable,pretzels,wardrobe
basic33,jellybeans,firetruck,ivy
basic22,goldfish,hamster,kitten
basic33,parrot,bed,gloves
basic22,polarbear,lion,elephant
basic22,picnictable,wardrobe,bed
basic12,skittles,candycorn,pretzels
basic12,grizzlybear,lobster,koalabear
basic33,gummybears,bathrobe,sheep
basic33,minivan,dress,popcorn
basic22,dressshirt,gloves,bathrobe
basic23,pug,rabbit,rosemary
basic12,husky,rabbit,greyhound
basic33,blackbear,lamp,dress
basic23,diningtable,wardrobe,motorcycle
basic23,dalmatian,rhino,popcorn
basic33,suv,bison,popcorn
basic22,tshirt,bathrobe,gloves
basic33,catfish,cookies,wardrobe
basic33,mnms,bison,lamp
basic12,hawaiishirt,bathrobe,campshirt
basic23,sunflower,kitten,ivy
basic33,rose,socks,pretzels
basic12,gummybears,candycorn,popcorn
basic12,germanshepherd,greyhound,sheep
basic33,jellybeans,motorcycle,bookcase
basic23,picnictable,hamster,lamp
basic33,mnms,bookcase,sheep
basic33,skittles,pig,grasses
basic23,sunflower,squirrel,pottedplant
basic12,blackbear,koalabear,sheep
basic23,convertible,bookcase,ambulance
basic23,minivan,bed,firetruck
basic22,clownfish,rhino,horse
basic22,husky,rhino,hamster
basic23,polarbear,iguana,motorcycle
basic22,pug,snake,crocodile
basic23,tulip,pottedplant,kitten
basic33,sportscar,hamster,ivy
basic23,pandabear,bookcase,rhino
basic22,rose,pottedplant,grasses
basic12,hummingbird,lobster,sparrow
basic33,goldfish,ivy,bathrobe
basic23,pigeon,train,lion
basic22,eagle,lion,iguana
basic12,coffeetable,sidetable,wardrobe
basic33,daisy,wardrobe,pig
basic22,grizzlybear,cow,crocodile
basic12,sunflower,pottedplant,lily
basic22,goldfish,iguana,lobster
basic12,eagle,snake,sparrow
basic33,convertible,bathrobe,pig
basic33,parrot,train,gloves
basic33,suv,popcorn,snake
basic22,minivan,firetruck,train
basic23,pandabear,wardrobe,hamster
basic33,catfish,pottedplant,dress
basic22,gummybears,cookies,chips
basic22,germanshepherd,rhino,elephant
basic23,rose,lobster,pottedplant
basic22,husky,rabbit,crocodile
basic23,hawaiishirt,crocodile,socks
basic23,coffeetable,bed,dress
basic33,picnictable,popcorn,bathrobe
basic33,dalmatian,pottedplant,bookcase
basic12,mnms,chips,candycorn
basic23,skittles,cookies,lion
basic33,daisy,chips,lamp
basic23,jellybeans,popcorn,rabbit
basic23,swordfish,gloves,lion
basic22,blackbear,snake,lobster
basic23,dressshirt,snake,dress
basic33,sportscar,grasses,bathrobe
basic23,diningtable,lion,lamp
basic12,pigeon,sparrow,elephant
basic22,bedsidetable,bed,lamp
basic33,pug,popcorn,bookcase
basic22,hummingbird,elephant,horse
basic23,coffeetable,socks,bookcase
basic12,goldfish,discusfish,snake
basic33,hawaiishirt,bison,bed
basic33,pigeon,pretzels,bed
basic12,swordfish,discusfish,elephant
basic12,grizzlybear,squirrel,koalabear
basic33,minivan,bathrobe,lobster
basic33,pug,bookcase,cookies
basic22,tshirt,socks,dress
basic33,rose,wardrobe,motorcycle
basic33,daisy,train,socks
basic12,polarbear,koalabear,sheep
basic12,catfish,discusfish,iguana
basic22,sportscar,ambulance,train
basic22,poloshirt,socks,dress
basic22,husky,rhino,kitten
basic22,suv,ambulance,motorcycle
basic23,germanshepherd,elephant,bathrobe
basic33,eagle,chips,ambulance
basic23,tulip,bathrobe,ivy
basic33,mnms,firetruck,rhino
basic23,dalmatian,firetruck,crocodile
basic33,clownfish,pretzels,lamp
basic22,sunflower,pottedplant,ivy
basic23,diningtable,bookcase,crocodile
basic23,picnictable,bed,rhino
basic22,hummingbird,sheep,lion
basic23,dressshirt,hamster,dress
basic22,pandabear,iguana,rabbit
basic22,blackbear,lion,snake
basic12,parrot,rabbit,sparrow
basic12,tshirt,campshirt,dress
basic22,mnms,pretzels,cookies
basic23,gummybears,bed,popcorn
basic22,germanshepherd,bison,rhino
basic12,jellybeans,candycorn,chips
basic33,sportscar,socks,lion
basic33,husky,pottedplant,chips
basic12,pug,pig,greyhound
basic12,dalmatian,greyhound,lion
basic23,poloshirt,socks,snake
basic23,pandabear,firetruck,squirrel
basic22,picnictable,bed,lamp
basic23,pigeon,bed,hamster
basic33,suv,pottedplant,rhino
basic12,eagle,sparrow,rabbit
basic22,convertible,firetruck,ambulance
basic22,blackbear,elephant,cow
basic12,diningtable,sidetable,lamp
basic22,skittles,popcorn,chips
basic33,clownfish,socks,lamp
basic23,tulip,lobster,pottedplant
basic33,sunflower,motorcycle,cookies
basic33,coffeetable,hamster,bathrobe
basic12,goldfish,bison,discusfish
basic33,hummingbird,chips,dress
basic23,polarbear,lobster,socks
basic33,grizzlybear,lamp,popcorn
basic33,swordfish,bed,bathrobe
basic22,daisy,pottedplant,grasses
basic23,parrot,gloves,rhino
basic12,husky,greyhound,snake
basic12,hawaiishirt,dress,campshirt
basic12,catfish,discusfish,kitten
basic33,tulip,popcorn,pig
basic22,gummybears,pretzels,popcorn
basic33,minivan,wardrobe,bathrobe
basic23,hummingbird,gloves,pig
basic23,eagle,pig,grasses
