condition,targetName,alt1Name,alt2Name
basic22,picnictable,lamp,bookcase
basic33,mnms,lobster,grasses
basic23,sportscar,rosemary,ambulance
basic33,poloshirt,kitten,pretzels
basic33,suv,bookcase,rhino
basic12,rose,rosemary,lily
basic23,jellybeans,crocodile,cookies
basic23,convertible,firetruck,kitten
basic22,germanshepherd,iguana,lobster
basic23,dalmatian,socks,hamster
basic23,diningtable,bed,hamster
basic12,goldfish,discusfish,crocodile
basic22,blackbear,rabbit,bison
basic22,pandabear,iguana,kitten
basic33,polarbear,dress,bed
basic23,parrot,grasses,iguana
basic33,pug,firetruck,pretzels
basic33,pigeon,cookies,grasses
basic12,swordfish,hamster,discusfish
basic23,blackbear,firetruck,elephant
basic33,suv,cookies,pig
basic33,skittles,squirrel,ivy
basic33,goldfish,popcorn,bookcase
basic23,husky,elephant,motorcycle
basic33,hummingbird,bookcase,dress
basic22,coffeetable,wardrobe,bed
basic12,pug,greyhound,squirrel
basic22,dalmatian,cow,sheep
basic22,polarbear,pig,lobster
basic23,poloshirt,lobster,bathrobe
basic23,minivan,firetruck,bison
basic33,convertible,bathrobe,rosemary
basic33,daisy,pig,train
basic12,germanshepherd,greyhound,cow
basic12,tulip,grasses,lily
basic22,catfish,cow,squirrel
basic33,convertible,kitten,gloves
basic23,mnms,firetruck,chips
basic23,diningtable,chips,bed
basic12,pandabear,koalabear,hamster
basic22,suv,ambulance,train
basic22,husky,horse,rhino
basic23,goldfish,socks,sheep
basic22,hummingbird,iguana,cow
basic33,parrot,cookies,bookcase
basic23,jellybeans,chips,kitten
basic33,swordfish,ambulance,cookies
basic33,polarbear,lamp,socks
basic22,picnictable,bed,bookcase
basic23,eagle,lion,pottedplant
basic33,pigeon,motorcycle,rosemary
basic22,clownfish,crocodile,kitten
basic12,dressshirt,campshirt,bathrobe
basic12,grizzlybear,koalabear,lion
basic23,sportscar,firetruck,kitten
basic12,bedsidetable,sidetable,bed
basic33,minivan,lion,rosemary
basic22,blackbear,bison,snake
basic33,sunflower,chips,bison
basic33,gummybears,rosemary,lamp
basic23,pug,crocodile,wardrobe
basic22,poloshirt,socks,gloves
basic23,coffeetable,bed,lion
basic23,sunflower,pottedplant,chips
basic23,tulip,grasses,train
basic12,coffeetable,lamp,sidetable
basic33,parrot,socks,cookies
basic22,husky,crocodile,snake
basic12,convertible,sedan,train
basic33,swordfish,cookies,gloves
basic22,sportscar,motorcycle,ambulance
basic22,dalmatian,iguana,rabbit
basic12,germanshepherd,hamster,greyhound
basic22,mnms,popcorn,pretzels
basic12,catfish,discusfish,rabbit
basic12,goldfish,discusfish,rabbit
basic23,tshirt,wardrobe,bathrobe
basic33,minivan,elephant,popcorn
basic22,skittles,chips,cookies
basic12,jellybeans,cookies,candycorn
basic22,hawaiishirt,bathrobe,dress
basic33,dressshirt,ambulance,pretzels
basic22,polarbear,cow,elephant
basic33,pandabear,lamp,pottedplant
basic33,poloshirt,pig,wardrobe
basic33,rose,chips,squirrel
basic23,pigeon,rabbit,bookcase
basic22,diningtable,bed,lamp
basic23,clownfish,elephant,bookcase
basic23,grizzlybear,popcorn,snake
basic33,suv,lion,chips
basic23,pug,pig,wardrobe
basic33,eagle,gloves,bed
basic23,gummybears,pottedplant,chips
basic23,bedsidetable,chips,bed
basic12,daisy,lily,rosemary
basic12,blackbear,koalabear,kitten
basic23,diningtable,wardrobe,dress
basic22,catfish,snake,iguana
basic12,eagle,sparrow,horse
basic33,tshirt,crocodile,cookies
basic33,rose,chips,dress
basic23,dressshirt,bed,bathrobe
basic23,suv,ambulance,bison
basic33,jellybeans,ivy,rhino
basic12,minivan,sedan,motorcycle
basic33,sportscar,bed,bison
basic23,picnictable,rabbit,wardrobe
basic23,hawaiishirt,dress,ivy
basic12,polarbear,crocodile,koalabear
basic12,parrot,hamster,sparrow
basic23,daisy,pottedplant,elephant
basic33,blackbear,ambulance,dress
basic22,grizzlybear,bison,iguana
basic33,hummingbird,popcorn,gloves
basic22,gummybears,chips,cookies
basic33,poloshirt,pottedplant,motorcycle
basic22,pigeon,rhino,crocodile
basic22,husky,kitten,lion
basic22,skittles,chips,popcorn
basic12,mnms,cookies,candycorn
basic12,germanshepherd,sheep,greyhound
basic23,convertible,popcorn,train
basic22,pug,squirrel,crocodile
basic23,sunflower,lion,rosemary
basic12,dalmatian,crocodile,greyhound
basic33,tulip,ambulance,gloves
basic23,clownfish,bathrobe,lobster
basic33,pandabear,ivy,train
basic12,goldfish,lion,discusfish
basic12,blackbear,sheep,koalabear
basic23,germanshepherd,bed,iguana
basic12,jellybeans,candycorn,cookies
basic22,hummingbird,sheep,crocodile
basic33,tshirt,train,snake
basic33,convertible,iguana,ivy
basic23,gummybears,cookies,bison
basic22,hawaiishirt,socks,dress
basic22,rose,ivy,rosemary
basic33,daisy,sheep,chips
basic23,sportscar,firetruck,iguana
basic23,eagle,lion,wardrobe
basic33,catfish,bathrobe,train
basic33,sunflower,lamp,gloves
basic22,mnms,pretzels,chips
basic12,grizzlybear,elephant,koalabear
basic33,pug,pottedplant,lamp
basic33,swordfish,grasses,ambulance
basic12,goldfish,sheep,discusfish
basic33,clownfish,lamp,grasses
basic23,suv,train,ivy
basic23,bedsidetable,iguana,bookcase
basic23,skittles,snake,popcorn
basic12,diningtable,sidetable,bed
basic33,picnictable,rosemary,horse
basic12,pandabear,snake,koalabear
basic22,coffeetable,lamp,bed
basic22,polarbear,cow,lobster
basic22,husky,lobster,cow
basic12,parrot,kitten,sparrow
basic22,pigeon,bison,horse
basic23,dalmatian,pottedplant,snake
basic12,poloshirt,campshirt,socks
basic23,tulip,cookies,rosemary
basic22,mnms,chips,cookies
basic33,goldfish,cookies,wardrobe
basic23,poloshirt,hamster,bathrobe
basic23,tulip,grasses,motorcycle
basic33,swordfish,train,bookcase
basic33,gummybears,bed,sheep
basic23,germanshepherd,firetruck,squirrel
basic33,dalmatian,wardrobe,cookies
basic33,sunflower,sheep,chips
basic23,sportscar,ambulance,grasses
basic33,skittles,squirrel,wardrobe
basic33,jellybeans,motorcycle,lion
basic22,pug,lobster,horse
basic12,hummingbird,rhino,sparrow
basic23,picnictable,bed,pottedplant
basic23,eagle,dress,cow
basic22,daisy,pottedplant,ivy
basic12,minivan,sedan,train
basic23,parrot,pig,dress
basic22,clownfish,kitten,horse
basic12,bedsidetable,bookcase,sidetable
basic33,convertible,wardrobe,crocodile
basic23,polarbear,rosemary,bison
basic12,blackbear,cow,koalabear
basic33,diningtable,motorcycle,kitten
basic23,pigeon,bison,motorcycle
basic22,dressshirt,socks,bathrobe
basic12,husky,greyhound,rhino
basic23,daisy,rosemary,lobster
basic22,pigeon,rabbit,elephant
basic23,eagle,bison,ambulance
basic33,husky,cookies,grasses
basic22,goldfish,rabbit,lobster
basic22,rose,grasses,rosemary
basic12,minivan,ambulance,sedan
basic33,coffeetable,cow,ambulance
basic23,poloshirt,train,bathrobe
basic12,tshirt,dress,campshirt
basic33,sunflower,lobster,bathrobe
basic33,jellybeans,bathrobe,ambulance
basic12,germanshepherd,greyhound,lion
basic33,bedsidetable,bison,dress
basic23,convertible,bathrobe,motorcycle
basic22,grizzlybear,bison,cow
basic23,hawaiishirt,bathrobe,crocodile
basic23,pug,pretzels,crocodile
basic22,pandabear,bison,elephant
basic33,picnictable,cow,dress
basic22,clownfish,rhino,lobster
basic33,gummybears,rhino,bathrobe
basic33,blackbear,bookcase,cookies
basic23,dalmatian,rhino,rosemary
basic22,swordfish,snake,pig
basic23,polarbear,popcorn,squirrel
basic33,skittles,lion,wardrobe
basic12,catfish,iguana,discusfish
basic23,rose,rabbit,ivy
basic22,parrot,lion,lobster
basic22,hawaiishirt,bathrobe,gloves
basic23,tulip,grasses,bed
basic12,polarbear,rabbit,koalabear
basic33,minivan,squirrel,cookies
basic33,daisy,pig,pretzels
basic23,pandabear,iguana,dress
basic33,sunflower,lamp,snake
basic12,germanshepherd,greyhound,rabbit
basic33,mnms,rosemary,firetruck
basic23,skittles,sheep,popcorn
basic23,picnictable,bookcase,popcorn
basic22,bedsidetable,wardrobe,bookcase
basic23,suv,rabbit,motorcycle
basic12,poloshirt,bathrobe,campshirt
basic33,dressshirt,bookcase,popcorn
basic12,convertible,sedan,motorcycle
basic22,sportscar,motorcycle,train
basic23,jellybeans,pretzels,squirrel
basic33,gummybears,ambulance,kitten
basic22,hummingbird,rhino,bison
basic22,pug,lion,squirrel
basic23,dalmatian,kitten,popcorn
basic33,swordfish,wardrobe,grasses
basic22,catfish,lion,rhino
basic23,coffeetable,kitten,wardrobe
basic12,eagle,hamster,sparrow
basic12,grizzlybear,koalabear,snake
basic33,goldfish,cookies,rosemary
basic33,blackbear,firetruck,cookies
basic22,eagle,crocodile,sheep
basic23,jellybeans,chips,ivy
basic23,dalmatian,firetruck,rhino
basic12,gummybears,candycorn,chips
basic23,suv,grasses,ambulance
basic22,poloshirt,gloves,dress
basic33,pigeon,popcorn,motorcycle
basic33,rose,kitten,bed
basic33,convertible,lamp,rhino
basic23,mnms,dress,chips
basic33,pigeon,gloves,popcorn
basic23,clownfish,cookies,lobster
basic12,tshirt,bathrobe,campshirt
basic33,hawaiishirt,lion,bookcase
basic12,rose,lily,rosemary
basic22,skittles,pretzels,chips
basic23,pandabear,bathrobe,pig
basic12,blackbear,koalabear,horse
basic22,eagle,bison,lobster
basic33,gummybears,horse,motorcycle
basic33,dressshirt,popcorn,lamp
basic12,pug,greyhound,crocodile
basic23,parrot,pottedplant,elephant
