gameid	 time	 roundNum	 trialType	 context	nameClickedObj	 targetStatusClickedObj	 spLocsClickedObj	 lisLocsClickedObj	 alt1Name	 alt1TargetStatus	 alt1SpLocs	 alt1LisLocs	 alt2Name	 alt2TargetStatus	 alt2SpLocs	 alt2LisLocs	numMessages	numSMessages	numLMessages	speakerMessages	listenerMessages	messageTimeStamps	 refExp	colorMentioned	typeMentioned	clickedType	clickedColor
2293-2	1479921904814	1	tomato	informative	tomato_green	target	2	3	avocado_black	distractor	3	2	tomato_pink	distractor	4	4	1	1	0	green tomato		1479921903280	green tomato	True	True	tomato	green
2293-2	1479921913784	2	carrot	overinformative-cc	carrot_brown	target	3	4	distractor_carrot_brown	distractor	4	3	pepper_red	distractor	2	2	1	1	0	carrot		1479921909789	carrot	False	True	carrot	brown
2293-2	1479921921124	3	carrot	informative	carrot_orange	target	2	4	tomato_red	distractor	4	3	carrot_pink	distractor	3	2	1	1	0	the orange carrot		1479921919796	the orange carrot	True	True	carrot	orange
2293-2	1479921933939	4	pepper	overinformative	pepper_orange	target	3	3	carrot_pink	distractor	4	2	avocado_green	distractor	2	4	1	1	0	bell pepper		1479921931361	bell pepper	False	True	pepper	orange
2293-2	1479921945493	5	pear	informative-cc	pear_green	target	4	3	pear_orange	distractor	2	4	distractor_pear_green	distractor	3	2	1	1	0	green pear		1479921943696	green pear	True	True	pear	green
2293-2	1479921954522	6	avocado	informative	avocado_black	target	4	4	avocado_red	distractor	2	3	banana_blue	distractor	3	2	1	1	0	black avocado		1479921952378	black avocado	True	True	avocado	black
2293-2	1479921960484	7	apple	overinformative-cc	apple_blue	target	2	3	banana_yellow	distractor	3	2	distractor_apple_blue	distractor	4	4	1	1	0	apple		1479921959127	apple	False	True	apple	blue
2293-2	1479921966874	8	pear	overinformative	pear_yellow	target	4	3	pepper_black	distractor	3	4	banana_brown	distractor	2	2	1	1	0	pear		1479921965251	pear	False	True	pear	yellow
2293-2	1479921973355	9	pear	informative-cc	pear_orange	target	3	4	pear_green	distractor	4	2	distractor_pear_orange	distractor	2	3	1	1	0	orange pear		1479921971799	orange pear	True	True	pear	orange
2293-2	1479921980272	10	avocado	informative-cc	avocado_red	target	2	3	avocado_green	distractor	3	4	distractor_avocado_red	distractor	4	2	1	1	0	red avocado		1479921979114	red avocado	True	True	avocado	red
2293-2	1479921989732	11	pepper	informative	pepper_orange	target	3	4	banana_yellow	distractor	4	3	pepper_black	distractor	2	2	1	1	0	the yellow bell pepper		1479921987421	the yellow bell pepper	False	True	pepper	orange
2293-2	1479921996283	12	avocado	overinformative-cc	avocado_green	target	3	3	distractor_avocado_green	distractor	4	2	pepper_orange	distractor	2	4	1	1	0	avocado		1479921994602	avocado	False	True	avocado	green
2293-2	1479922004383	13	banana	informative	banana_yellow	target	4	4	avocado_green	distractor	3	3	banana_blue	distractor	2	2	1	1	0	the yellow banana		1479922003210	the yellow banana	True	True	banana	yellow
2293-2	1479922011773	14	pepper	overinformative-cc	pepper_black	target	4	3	distractor_pepper_black	distractor	2	2	pear_green	distractor	3	4	1	1	0	bell pepper		1479922010477	bell pepper	False	True	pepper	black
2293-2	1479922020043	15	tomato	informative	tomato_pink	target	4	2	carrot_orange	distractor	3	3	tomato_green	distractor	2	4	1	1	0	purple tomato		1479922018599	purple tomato	False	True	tomato	pink
2293-2	1479922026085	16	tomato	informative-cc	tomato_red	target	3	4	distractor_tomato_red	distractor	4	2	tomato_pink	distractor	2	3	1	1	0	red tomato		1479922024983	red tomato	True	True	tomato	red
2293-2	1479922032396	17	avocado	overinformative	avocado_red	target	3	2	banana_blue	distractor	2	4	pear_yellow	distractor	4	3	1	1	0	avocado		1479922031168	avocado	False	True	avocado	red
2293-2	1479922039221	18	apple	overinformative	apple_green	target	3	4	pear_yellow	distractor	4	3	banana_yellow	distractor	2	2	1	1	0	apple		1479922036890	apple	False	True	apple	green
2293-2	1479922047539	19	tomato	overinformative	tomato_green	target	2	2	carrot_brown	distractor	4	4	apple_blue	distractor	3	3	1	1	0	tomato		1479922043639	tomato	False	True	tomato	green
